crit,folder,typ,m,n,N,seed,bos_lb,t0,bnb_lb,oa_lb
E,baseline,independent,150,12,18,1,-3.3982301408096336,1372.0,-1.606652,-2.129426
E,baseline,independent,150,12,18,2,-3.3011483770449708,7.0,-1.597596,-2.135358
E,baseline,independent,150,12,18,3,-3.373580027366853,7.0,-1.607077,-2.136404
E,baseline,independent,150,12,18,4,-3.405431799678887,8.0,-1.526707,-2.142374
E,baseline,independent,150,12,18,5,-3.4042095088189344,5.0,-1.675009,-2.281165
E,baseline,independent,150,12,44,1,-5.964008783360967,2049.0,-3.792166,-4.619032
E,baseline,independent,150,12,44,2,-5.49373647209041,6.0,-3.745645,-4.300399
E,baseline,independent,150,12,44,3,-6.02670610165385,11.0,-3.827163,-4.569957
E,baseline,independent,150,12,44,4,-5.30538211408787,7.0,-3.59359,-4.627015
E,baseline,independent,150,12,44,5,-6.15959122656906,8.0,-3.914759,-4.967239
E,baseline,correlated,50,7,10,1,-44.59906981494049,699.0,-40.19008,-60.76848
E,baseline,correlated,50,7,10,2,-34.70208418346811,32.0,-29.64576,-34.85951
E,baseline,correlated,50,7,10,3,-46.45817153796298,57.0,-40.41073,-63.62778
E,baseline,correlated,50,7,10,4,-32.6618070921252,16.0,-28.79535,-43.8909
E,baseline,correlated,50,7,10,5,-47.93805651119332,34.0,-43.42921,-71.77555
E,baseline,correlated,50,7,20,1,-76.43330014321177,654.0,-70.98477,-84.69968
E,baseline,correlated,50,7,20,2,-54.41372561237262,7.0,-51.39256,-63.11326
E,baseline,correlated,50,7,20,3,-69.86631711543795,11.0,-68.30835,-97.26709
E,baseline,correlated,50,7,20,4,-54.96843054161786,22.0,-51.26241,-59.12336
E,baseline,correlated,50,7,20,5,-79.76159687664311,18.0,-74.76799,-85.10806
E,baseline,correlated,80,8,12,1,-96.0914098460333,630.0,-88.82593,-125.616
E,baseline,correlated,80,8,12,2,-65.37546296201322,27.0,-58.10745,-88.48366
E,baseline,correlated,80,8,12,3,-67.0854585842304,76.0,-57.94501,-89.51098
E,baseline,correlated,80,8,12,4,-97.10336614431478,23.0,-87.05968,-159.7255
E,baseline,correlated,80,8,12,5,-88.49632588103687,94.0,-82.4589,-122.0045
E,baseline,correlated,80,8,24,1,-166.4907993525234,368.0,-155.9369,-188.4846
E,baseline,correlated,80,8,24,2,-109.93085721192777,22.0,-101.8663,-141.2022
E,baseline,correlated,80,8,24,3,-117.08016958162506,61.0,-106.5691,-167.2361
E,baseline,correlated,80,8,24,4,-154.53751996272757,62.0,-145.4763,-175.4329
E,baseline,correlated,80,8,24,5,-157.37488091193723,314.0,-148.481,-184.7774
E,baseline,correlated,100,10,15,1,-136.75607057164046,1461.0,-129.196,
E,baseline,correlated,100,10,15,2,-108.3436737025117,315.0,-99.23076,
E,baseline,correlated,100,10,15,3,-127.86394223236017,341.0,-119.6063,
E,baseline,correlated,100,10,15,4,-154.7320282729839,158.0,-147.0716,
E,baseline,correlated,100,10,15,5,-120.76431914525979,222.0,-111.6443,
E,baseline,correlated,100,10,34,1,-273.18155867180496,2118.0,-262.1183,-308.4163
E,baseline,correlated,100,10,34,2,-206.60628863942566,82.0,-193.3089,-275.7456
E,baseline,correlated,100,10,34,3,-240.38035828287389,295.0,-228.3672,-314.2386
E,baseline,correlated,100,10,34,4,-326.1609910672285,137.0,-316.0688,-382.1575
E,baseline,correlated,100,10,34,5,-243.0699107216352,151.0,-230.7152,-279.243
E,baseline,correlated,120,10,15,1,-178.30002803962583,926.0,-169.0861,
E,baseline,correlated,120,10,15,2,-150.83177699964676,501.0,-140.7072,
E,baseline,correlated,120,10,15,3,-163.41566667333612,175.0,-152.5761,
E,baseline,correlated,120,10,15,4,-205.24458234434454,290.0,-197.8433,
E,baseline,correlated,120,10,15,5,-167.6842576347361,545.0,-159.7706,
E,baseline,correlated,120,10,34,1,-364.07559065766117,2350.0,-353.4027,-469.4368
