seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero;avg_pruned_nodes
1;45;10;9;2669.718;-0.12260807282096142;-0.12260807282096142;0.006128935186056783;0.04998802317859255;2494237;94501;OPTIMAL;91272.0;6818;vertex;0.0;0.0;0.0
2;45;10;9;821.085;-0.19251549888412633;-0.19251549888412633;0.009620451557701498;0.04997234827047342;1891629;46233;OPTIMAL;28855.0;2401;vertex;0.0;0.0;0.0
3;45;10;9;3603.226;-0.16058321930514108;-0.16058321930514108;0.02372298975917564;0.14773019162168552;3172643;101897;TIME_LIMIT;23861.0;1945;vertex;0.0;0.0;0.0
1;66;12;11;3600.037;-1.1405893450853894;-1.1405893450853894;1.0569490691219139;0.9266692466277476;12457236;35113;TIME_LIMIT;864430.0;4589;vertex;0.0;0.0;0.0
2;66;12;11;3600.025;-1.4166066406732227;-1.4166066406732227;0.7466653048291478;0.527080195299879;12933833;34769;TIME_LIMIT;264811.0;1590;vertex;0.0;0.0;0.0
3;66;12;11;3600.022;-1.1881779345052637;-1.1881779345052637;0.9730017952209498;0.8189024277968018;13204341;29759;TIME_LIMIT;2.47779e6;10580;vertex;0.0;0.0;0.0
1;105;15;14;3600.108;-0.9405610426766609;-0.9405610426766609;2.0322105434562197;2.160636525698458;8635656;16131;TIME_LIMIT;1.105124e6;2726;vertex;0.0;0.0;0.0
2;105;15;14;3600.185;-0.9388243702963155;-0.9388243702963155;1.9928965832952985;2.1227576172381344;8243809;15853;TIME_LIMIT;1.196286e6;2917;vertex;0.0;0.0;0.0
3;105;15;14;3600.262;-0.7383807941644205;-0.7383807941644205;2.1705360018533923;2.9395889207947947;8301734;16461;TIME_LIMIT;3.199074e6;7359;vertex;0.0;0.0;0.0
1;300;25;24;3603.104;-0.2897416552052573;-0.2897416552052573;4.251601632631757;14.67376732427327;2592677;3581;TIME_LIMIT;1.230032e6;682;vertex;0.0;0.0;0.0
2;300;25;24;3603.03;-0.2713291276432296;-0.2713291276432296;4.414454684458436;16.26974119145438;2598434;3507;TIME_LIMIT;3.350098e6;1646;vertex;0.0;0.0;0.0
3;300;25;24;3603.242;-0.3379197803149326;-0.3379197803149326;4.296072136925479;12.713289920233878;2611929;3617;TIME_LIMIT;2.868289e6;1475;vertex;0.0;0.0;0.0
1;780;40;39;3601.113;-8.462721752512648e-15;-8.462721752512648e-15;6.462949970528786;7.636963803766661e14;1074444;1063;TIME_LIMIT;56948.0;17;vertex;0.0;0.0;0.0
2;780;40;39;3601.169;-5.536019530834966e-15;-5.536019530834966e-15;6.705037198592881;1.211165741241812e15;1053375;1113;TIME_LIMIT;394089.0;90;vertex;0.0;0.0;0.0
3;780;40;39;3601.094;-5.503458212898599e-15;-5.503458212898599e-15;6.3572088371221245;1.1551298458526618e15;1050023;1211;TIME_LIMIT;3.52456e6;594;vertex;0.0;0.0;0.0
1;1770;60;59;3600.364;-3.0089504436069628e-15;-3.0089504436069628e-15;8.136585022977822;2.7041272947068335e15;401736;409;TIME_LIMIT;259745.0;23;vertex;0.0;0.0;0.0
2;1770;60;59;3600.339;-3.822471192674178e-15;-3.822471192674178e-15;8.212458918413985;2.148468491836716e15;403660;387;TIME_LIMIT;1.524743e6;94;vertex;0.0;0.0;0.0
3;1770;60;59;3600.372;-3.300108690732887e-15;-3.300108690732887e-15;8.441782930197022;2.55803178662042e15;409343;387;TIME_LIMIT;1.218087e6;84;vertex;0.0;0.0;0.0
1;4950;100;99;3600.097;-3.376925858539447e-15;-3.376925858539447e-15;5.1286242851616395;1.518725758278809e15;114311;317;TIME_LIMIT;738979.0;49;vertex;0.0;0.0;0.0
2;4950;100;99;3600.103;-3.0370358100620645e-15;-3.0370358100620645e-15;5.145034352719517;1.694097361536996e15;119827;321;TIME_LIMIT;2.710899e6;132;vertex;0.0;0.0;0.0
3;4950;100;99;3600.091;-2.7423850446228354e-15;-2.7423850446228354e-15;5.172975378556524;1.886305276022234e15;112962;305;TIME_LIMIT;3.100742e6;136;vertex;0.0;0.0;0.0
