seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero
1;80;26;40;3600.087;-3.222974906345445;-3.222974906345445;0.5446980523473104;0.16900474504933316;6346427;27335;TIME_LIMIT;127710.0;341;rounding_lmo_01;0.0;0.0
2;80;26;40;3600.214;-2.708036221386876;-2.708036221386876;0.35261408174102016;0.1302102530816352;5066593;45613;TIME_LIMIT;2.388926e6;16398;rounding;0.0;0.0
3;80;26;40;3600.05;-3.3992870015585863;-3.3992870015585863;0.8888820923896663;0.26149074555402657;7379623;13275;TIME_LIMIT;74592.0;329;rounding;0.0;0.0
4;80;26;40;3600.054;-3.240800449284033;-3.240800449284033;1.2947944771147286;0.3995292204432946;7341072;15219;TIME_LIMIT;3.184441e6;6871;rounding_lmo_01;0.0;0.0
5;80;26;40;3600.034;-3.215991586704659;-3.215991586704659;0.9446594276493689;0.2937381526601991;6867029;20405;TIME_LIMIT;3.113504e6;9120;rounding;0.0;0.0
1;100;33;50;3601.356;-1.798791028716811;-1.798791028716811;0.4449495853613159;0.24736035384762065;1420637;37287;TIME_LIMIT;3.092499e6;16406;vertex;0.0;0.0
2;100;33;50;3600.123;-2.9552436823136894;-2.9552436823136894;0.8247807961936902;0.27909062157201237;3954507;14041;TIME_LIMIT;880812.0;2108;rounding;0.0;0.0
3;100;33;50;3600.104;-2.995919904000125;-2.995919904000125;0.8456869704459793;0.2822795660580998;4083178;13443;TIME_LIMIT;415508.0;1114;rounding_lmo_01;0.0;0.0
4;100;33;50;3600.031;-3.003877168949556;-3.003877168949556;1.3094438809101172;0.4359179178315153;4205221;10515;TIME_LIMIT;2.814988e6;4479;rounding;0.0;0.0
5;100;33;50;3600.243;-2.9179102352046256;-2.9179102352046256;0.6055759526704079;0.20753755388501194;3630673;19079;TIME_LIMIT;1.1238e6;3072;rounding_lmo_01;0.0;0.0
1;150;50;75;3600.59;-2.5226774228356783;-2.5226774228356783;1.1425350971981358;0.4529057448470129;1391649;6517;TIME_LIMIT;2.566012e6;2450;rounding;0.0;0.0
2;150;50;75;3600.457;-2.4937575704675172;-2.4937575704675172;1.6950008509284071;0.6796975259349837;1492905;6117;TIME_LIMIT;857707.0;896;hyperplane_aware_rounding;0.0;0.0
3;150;50;75;3600.476;-2.563381830530118;-2.563381830530118;1.3791420182139311;0.5380166160921562;1272367;7485;TIME_LIMIT;3.148244e6;3312;rounding_lmo_01;0.0;0.0
4;150;50;75;3600.266;-2.5270455828637655;-2.5270455828637655;1.3745202193167154;0.5439237933171926;1174734;7701;TIME_LIMIT;2.201015e6;2486;rounding_lmo_01;0.0;0.0
5;150;50;75;3600.326;-2.3291331427949666;-2.3291331427949666;0.9366248263980057;0.4021345148496119;876015;8713;TIME_LIMIT;1.213876e6;1486;rounding_lmo_01;0.0;0.0
1;200;66;100;3601.335;-2.20608035726615;-2.20608035726615;1.6386485424987303;0.7427873318854982;540701;3757;TIME_LIMIT;2.491304e6;1382;rounding_lmo_01;0.0;0.0
2;200;66;100;3600.953;-2.252537545665429;-2.252537545665429;1.4282720655343;0.6340724789616635;485919;3599;TIME_LIMIT;2.351002e6;1208;rounding;0.0;0.0
3;200;66;100;3600.806;-2.267018513140215;-2.267018513140215;1.3078395466000892;0.5768984853981205;516942;5327;TIME_LIMIT;2.034696e6;1573;rounding;0.0;0.0
4;200;66;100;3600.924;-2.253450329853373;-2.253450329853373;1.3660027289479841;0.6061827548854236;570076;5329;TIME_LIMIT;3.053058e6;2273;rounding;0.0;0.0
5;200;66;100;3600.958;-2.3393082981102666;-2.3393082981102666;1.7827055888325547;0.7620652610315002;634997;5401;TIME_LIMIT;1.815281e6;1402;hyperplane_aware_rounding;0.0;0.0
