seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero
1;80;26;40;3600.042;-3.2346432371433598;-3.2346432371433598;0.5067358383544662;0.15665895779034492;8810199;37975;TIME_LIMIT;658371.0;4989;rounding;0.0;0.0
2;80;26;40;3600.332;-2.709502855423951;-2.709502855423951;0.33147558643613717;0.1223381572647473;7143661;68735;TIME_LIMIT;428486.0;6266;rounding;0.0;0.0
3;80;26;40;3600.011;-3.3992870015585863;-3.3992870015585863;0.9080913445360439;0.26714171063510683;9163567;11639;TIME_LIMIT;65387.0;327;rounding;0.0;0.0
4;80;26;40;3600.015;-3.3067917318749385;-3.3067917318749385;1.2151757053839272;0.3674787540051478;9297021;18147;TIME_LIMIT;803410.0;2914;rounding_lmo_01;0.0;0.0
5;80;26;40;3600.031;-3.1934785634366873;-3.1934785634366873;0.9498405596365389;0.2974313247352318;9152392;26489;TIME_LIMIT;458064.0;2685;rounding;0.0;0.0
1;100;33;50;3601.842;-1.7987011812927154;-1.7987011812927154;0.4008794995912264;0.22287164969954418;2939672;68329;TIME_LIMIT;3.566714e6;33964;rounding;0.0;0.0
2;100;33;50;3600.039;-2.9656807355458294;-2.9656807355458294;0.7939261596651392;0.26770452737860817;5634889;19357;TIME_LIMIT;1.74312e6;5299;rounding_lmo_01;0.0;0.0
3;100;33;50;3600.026;-3.0090039650522105;-3.0090039650522105;0.8204808649678919;0.2726752355587725;5626713;17229;TIME_LIMIT;1.151978e6;3351;rounding_lmo_01;0.0;0.0
4;100;33;50;3600.024;-2.9978457210157208;-2.9978457210157208;1.3160785323595983;0.43900809275591696;5700344;12387;TIME_LIMIT;1.53498e6;3280;rounding;0.0;0.0
5;100;33;50;3600.17;-2.933117149031213;-2.933117149031213;0.5451692583608949;0.185866854496746;5381364;38165;TIME_LIMIT;2.940793e6;15949;rounding;0.0;0.0
1;150;50;75;3600.174;-2.5046641529537492;-2.5046641529537492;1.0842939088276862;0.4329099003349327;2858510;10381;TIME_LIMIT;2.131772e6;3570;rounding_lmo_01;0.0;0.0
2;150;50;75;3600.076;-2.490340976554286;-2.490340976554286;1.6485951911477654;0.6619957695226192;2745858;9269;TIME_LIMIT;2.656508e6;3659;rounding;0.0;0.0
3;150;50;75;3600.175;-2.517518213553945;-2.517518213553945;1.365600685335341;0.5424392475030168;2718011;13729;TIME_LIMIT;2.334886e6;4757;rounding_lmo_01;0.0;0.0
4;150;50;75;3600.221;-2.484446080962999;-2.484446080962999;1.3434465234034088;0.5407428777374287;2696701;14417;TIME_LIMIT;1.563321e6;3752;rounding_lmo_01;0.0;0.0
5;150;50;75;3600.444;-2.342939140419629;-2.342939140419629;0.8397163801697602;0.3584029843896687;2457835;22909;TIME_LIMIT;3.45056e6;10986;rounding;0.0;0.0
1;200;66;100;3600.274;-2.233197703357181;-2.233197703357181;1.5183701899748145;0.6799085399793482;1488567;7735;TIME_LIMIT;3.23666e6;3575;rounding;0.0;0.0
2;200;66;100;3600.253;-2.2606420231855937;-2.2606420231855937;1.2579573978194296;0.5564602378074762;1485797;9411;TIME_LIMIT;1.479674e6;2202;rounding;0.0;0.0
3;200;66;100;3600.493;-2.2856098178167152;-2.2856098178167152;1.1868200001909175;0.5192574825936845;1341744;11241;TIME_LIMIT;2.544184e6;4265;rounding;0.0;0.0
4;200;66;100;3600.247;-2.2678533912847216;-2.2678533912847216;1.2505964791324682;0.5514450290034025;1317145;12583;TIME_LIMIT;3.02295e6;5310;rounding;0.0;0.0
5;200;66;100;3600.379;-2.3666500636524113;-2.3666500636524113;1.6628536695092668;0.7026191556782216;1398230;10647;TIME_LIMIT;3.337658e6;4992;rounding;0.0;0.0
