seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero;avg_pruned_nodes
1;45;10;9;38.998;-0.12260807282096142;-0.12260807282096142;0.00608979860211642;0.04966882246823221;155363;3968;OPTIMAL;17854.0;1935;vertex;0.0;0.0;0.0
2;45;10;9;76.48;-0.1411445458660298;-0.1411445458660298;0.007021555142264491;0.049747265111675945;300011;5356;OPTIMAL;7861.0;762;vertex;0.0;0.0;0.0
3;45;10;9;64.262;-0.16058321930514108;-0.16058321930514108;0.008012021626885052;0.04989326818551673;260671;4687;OPTIMAL;13518.0;1188;vertex;0.0;0.0;0.0
1;66;12;11;3600.027;-1.0935457858672633;-1.0935457858672633;0.46613123545000046;0.42625671597309817;13681361;18193;TIME_LIMIT;1.088037e6;5616;vertex;0.0;0.0;0.0
2;66;12;11;3600.007;-1.4166066406732227;-1.4166066406732227;0.11240189555090963;0.07934587649362718;14250489;18612;TIME_LIMIT;259171.0;1567;vertex;0.0;0.0;0.0
3;66;12;11;3600.02;-1.1881779345052637;-1.1881779345052637;0.5559425447039184;0.4678950252812118;14124010;15637;TIME_LIMIT;1.250139e6;5510;vertex;0.0;0.0;0.0
1;105;15;14;3600.102;-0.9405610426766609;-0.9405610426766609;2.032647426115637;2.1611010172514717;8475347;14879;TIME_LIMIT;1.114369e6;2726;vertex;0.0;0.0;0.0
2;105;15;14;3600.191;-0.9388243702963155;-0.9388243702963155;1.988682628941181;2.1182690733875016;8229568;14643;TIME_LIMIT;1.192595e6;2917;vertex;0.0;0.0;0.0
3;105;15;14;3600.253;-0.7383807941644205;-0.7383807941644205;2.1595768924360126;2.9247468372736742;8271027;14820;TIME_LIMIT;3.006597e6;6911;vertex;0.0;0.0;0.0
1;300;25;24;3602.959;-0.2897416552052573;-0.2897416552052573;4.251305631877855;14.672745721929997;2598755;3589;TIME_LIMIT;1.225312e6;682;vertex;0.0;0.0;0.0
2;300;25;24;3603.077;-0.2713291276432296;-0.2713291276432296;4.413719759276812;16.267032580005225;2630104;3547;TIME_LIMIT;3.309102e6;1646;vertex;0.0;0.0;0.0
3;300;25;24;3602.912;-0.3379197803149326;-0.3379197803149326;4.296884577652572;12.715694161637966;2563496;3561;TIME_LIMIT;2.923953e6;1475;vertex;0.0;0.0;0.0
1;780;40;39;3601.156;-8.462721752512648e-15;-8.462721752512648e-15;6.463368080860316;7.637457865067219e14;1057444;1049;TIME_LIMIT;58036.0;17;vertex;0.0;0.0;0.0
2;780;40;39;3601.1;-5.536019530834966e-15;-5.536019530834966e-15;6.705815171259683;1.2113062704907552e15;1039953;1101;TIME_LIMIT;403400.0;90;vertex;0.0;0.0;0.0
3;780;40;39;3601.291;-5.503458212898599e-15;-5.503458212898599e-15;6.3570341472397205;1.1550981040140495e15;1052535;1215;TIME_LIMIT;3.515555e6;594;vertex;0.0;0.0;0.0
1;1770;60;59;3600.363;-3.0089504436069628e-15;-3.0089504436069628e-15;8.136585022977822;2.7041272947068335e15;399298;407;TIME_LIMIT;262165.0;23;vertex;0.0;0.0;0.0
2;1770;60;59;3600.357;-3.822471192674178e-15;-3.822471192674178e-15;8.212992012906668;2.1486079551487495e15;401760;385;TIME_LIMIT;1.532174e6;94;vertex;0.0;0.0;0.0
3;1770;60;59;3600.366;-3.300108690732887e-15;-3.300108690732887e-15;8.4439002945508;2.558673391049912e15;406372;385;TIME_LIMIT;1.223774e6;84;vertex;0.0;0.0;0.0
1;4950;100;99;3600.102;-3.376925858539447e-15;-3.376925858539447e-15;5.1284860147413465;1.5186848126299895e15;115053;319;TIME_LIMIT;734737.0;49;vertex;0.0;0.0;0.0
2;4950;100;99;3600.085;-3.0370358100620645e-15;-3.0370358100620645e-15;5.14523654011418;1.6941639354621348e15;117506;317;TIME_LIMIT;2.759765e6;132;vertex;0.0;0.0;0.0
3;4950;100;99;3600.083;-2.7423850446228354e-15;-2.7423850446228354e-15;5.172685005995075;1.8861993928013425e15;114351;307;TIME_LIMIT;3.065539e6;136;vertex;0.0;0.0;0.0
