seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero;avg_pruned_nodes
1;80;26;40;3600.033;-3.224851371569596;-3.224851371569596;0.23808182415919177;0.07382722387088272;15015206;43117;TIME_LIMIT;3.366879e6;20366;rounding;0.0;0.0;0.0
2;80;26;40;1.081;-2.6529743347813524;-2.6529743347813524;0.1323773376878239;0.04989770762284208;875;23;OPTIMAL;1052.0;10;rounding;0.0;0.0;0.0
3;80;26;40;3600.041;-3.4157811971354985;-3.4157811971354985;0.33388797813207427;0.09774864338853888;13901060;59511;TIME_LIMIT;2.177313e6;19717;rounding;0.0;0.0;0.0
4;80;26;40;3600.028;-3.278121857983688;-3.278121857983688;0.4267404753346815;0.13017834413183213;14872657;39937;TIME_LIMIT;1.006367e6;7148;rounding;0.0;0.0;0.0
5;80;26;40;3600.045;-3.215991586704659;-3.215991586704659;0.287751041271739;0.08947506033950475;14051028;56955;TIME_LIMIT;1.42354e6;13335;rounding;0.0;0.0;0.0
1;100;33;50;0.615;-1.7745947804434028;-1.7745947804434028;0.050941665674812064;0.02870608334714233;58;3;OPTIMAL;615.0;1;rounding;0.0;0.0;0.0
2;100;33;50;3600.025;-2.9821755944956454;-2.9821755944956454;0.36641218171288914;0.1228674067312451;9667512;27187;TIME_LIMIT;2.925156e6;11199;rounding;0.0;0.0;0.0
3;100;33;50;3600.021;-2.9880923840161513;-2.9880923840161513;0.43152744678022614;0.14441569781729133;9819826;21561;TIME_LIMIT;1.757481e6;5748;rounding;0.0;0.0;0.0
4;100;33;50;3600.042;-3.019182129200197;-3.019182129200197;0.4879775646655049;0.16162574623968567;9670384;31481;TIME_LIMIT;2.974448e6;13376;rounding;0.0;0.0;0.0
5;100;33;50;3600.047;-2.9370619876191375;-2.9370619876191375;0.17369214142516354;0.059138057745237824;9445523;36283;TIME_LIMIT;1.565936e6;8344;rounding;0.0;0.0;0.0
1;150;50;75;3600.031;-2.527133636623937;-2.527133636623937;0.35052061094636366;0.1387028394013358;4917515;7569;TIME_LIMIT;164458.0;395;rounding;0.0;0.0;0.0
2;150;50;75;3600.07;-2.536525202063326;-2.536525202063326;0.7962200483281672;0.3139018873853432;4683225;16135;TIME_LIMIT;2.875616e6;6613;rounding;0.0;0.0;0.0
3;150;50;75;3600.088;-2.527481451248205;-2.527481451248205;0.7409740448520035;0.29316695657096553;4806139;17543;TIME_LIMIT;1.34446e6;3399;hyperplane_aware_rounding;0.0;0.0;0.0
4;150;50;75;3600.139;-2.5157350999516854;-2.5157350999516854;0.6720194208543453;0.2671264636993185;4660312;21335;TIME_LIMIT;2.552741e6;7965;rounding_lmo_01;0.0;0.0;0.0
5;150;50;75;573.371;-2.35324343418024;-2.35324343418024;0.11613469382839225;0.049350905283136653;689075;6891;OPTIMAL;573256.0;3445;rounding;0.0;0.0;0.0
1;200;66;100;3600.124;-2.249776279425001;-2.249776279425001;0.6341080618138975;0.2818538303621741;2690039;9015;TIME_LIMIT;1.058375e6;1480;rounding;0.0;0.0;0.0
2;200;66;100;3600.157;-2.2905472675086984;-2.2905472675086984;0.25052330794638333;0.10937268638811531;2410082;11715;TIME_LIMIT;2.871075e6;4787;rounding;0.0;0.0;0.0
3;200;66;100;3600.564;-2.2801888309230316;-2.2801888309230316;0.21422370190866857;0.09394998300292076;2418602;17441;TIME_LIMIT;2.632083e6;6709;rounding;0.0;0.0;0.0
4;200;66;100;3600.24;-2.29193282483842;-2.29193282483842;0.18242925244053465;0.07959624752675543;2598087;17709;TIME_LIMIT;1.206757e6;3812;rounding;0.0;0.0;0.0
5;200;66;100;3600.184;-2.4289188628347773;-2.4289188628347773;0.725764125166017;0.2988013046755221;2693089;11025;TIME_LIMIT;2.767293e6;4421;rounding;0.0;0.0;0.0
