seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero
1;80;26;40;3600.03;-3.230315658740771;-3.230315658740771;0.6010871591478182;0.18607691094254597;9524819;9071;TIME_LIMIT;1.150467e6;1613;rounding;0.0;0.0
2;80;26;40;3600.235;-2.708571955861573;-2.708571955861573;0.4177039993153806;0.15421558153972417;9738936;13835;TIME_LIMIT;2.813662e6;5391;rounding;0.0;0.0
3;80;26;40;3600.013;-3.3992870015585863;-3.3992870015585863;0.9218366207750845;0.2711852869005821;9097313;7077;TIME_LIMIT;563043.0;852;rounding;0.0;0.0
4;80;26;40;3600.013;-3.241254007410185;-3.241254007410185;1.3522676982040815;0.41720509874033773;9530136;6245;TIME_LIMIT;232710.0;298;rounding;0.0;0.0
5;80;26;40;3600.013;-3.1934785634366873;-3.1934785634366873;1.0152959350803918;0.31792790053607656;9335074;8759;TIME_LIMIT;2.244949e6;2852;rounding;0.0;0.0
1;100;33;50;3603.08;-1.7983751736119307;-1.7983751736119307;0.493577965661983;0.2744577287900726;4688037;26421;TIME_LIMIT;2.016433e6;8243;vertex;0.0;0.0
2;100;33;50;3600.032;-2.9552436823136894;-2.9552436823136894;0.8879125796058549;0.3004532536249936;5947248;5517;TIME_LIMIT;2.207301e6;1748;rounding;0.0;0.0
3;100;33;50;3600.032;-2.9665346416630642;-2.9665346416630642;0.9746491437549523;0.32854804055433373;5963071;4025;TIME_LIMIT;2.853709e6;1631;rounding_lmo_01;0.0;0.0
4;100;33;50;3600.023;-3.005143356831306;-3.005143356831306;1.379880440961534;0.4591729169341566;5812784;4327;TIME_LIMIT;2.671317e6;1706;rounding;0.0;0.0
5;100;33;50;3600.152;-2.9133480925223645;-2.9133480925223645;0.6508430577518234;0.22340037547258082;5974953;10613;TIME_LIMIT;1.023997e6;1638;rounding;0.0;0.0
1;150;50;75;3600.253;-2.477713325827132;-2.477713325827132;1.2998060024246239;0.5245990280133442;2950004;2345;TIME_LIMIT;2.664946e6;923;rounding;0.0;0.0
2;150;50;75;3600.075;-2.498117688976836;-2.498117688976836;1.7595303230703196;0.7043424458480887;2871851;3191;TIME_LIMIT;2.341031e6;1060;rounding;0.0;0.0
3;150;50;75;3600.103;-2.550418983607894;-2.550418983607894;1.489387460536625;0.5839775621610596;2925416;2867;TIME_LIMIT;683584.0;291;rounding_lmo_01;0.0;0.0
4;150;50;75;3600.166;-2.511098155616966;-2.511098155616966;1.4951590916165545;0.5954204093026385;2969931;2547;TIME_LIMIT;3.448474e6;1219;rounding;0.0;0.0
5;150;50;75;3600.63;-2.331747402600402;-2.331747402600402;1.0046578132294588;0.4308604834764899;2960128;4797;TIME_LIMIT;3.020307e6;2076;rounding_lmo_01;0.0;0.0
1;200;66;100;3600.538;-2.2110289310359366;-2.2110289310359366;1.8026138818876913;0.815282810905197;1553353;1219;TIME_LIMIT;2.203091e6;365;rounding_lmo_01;0.0;0.0
2;200;66;100;3600.255;-2.211124800604211;-2.211124800604211;1.5716986728778557;0.7108140944592427;1587898;1855;TIME_LIMIT;2.076914e6;535;rounding;0.0;0.0
3;200;66;100;3600.694;-2.231884559869658;-2.231884559869658;1.5499283929064434;0.694448279617544;1476177;1501;TIME_LIMIT;2.710882e6;580;rounding;0.0;0.0
4;200;66;100;3600.228;-2.250410846284897;-2.250410846284897;1.3785571826513237;0.6125802250407397;1496026;4237;TIME_LIMIT;2.88372e6;1755;rounding;0.0;0.0
5;200;66;100;3600.31;-2.3328968385783595;-2.3328968385783595;1.8861374438989733;0.8084958634726274;1522322;2673;TIME_LIMIT;2.383902e6;1027;rounding;0.0;0.0
