seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source;avg_pruned_nodes
1;45;10;9;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;45;10;9;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;45;10;9;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;66;12;11;3600.027;-1.1405893450853894;-1.1405893450853894;1.0537003019602946;0.9238209233678315;12685743;35755;TIME_LIMIT;857720.0;4589;0.0;0.0;vertex;0.0
2;66;12;11;3600.033;-1.4166066406732227;-1.4166066406732227;0.7462558661147245;0.5267911674902757;12981055;34893;TIME_LIMIT;267508.0;1590;0.0;0.0;vertex;0.0
3;66;12;11;3600.021;-1.1881779345052637;-1.1881779345052637;0.9731655095227618;0.8190402138110491;13188033;29729;TIME_LIMIT;2.470406e6;10580;0.0;0.0;vertex;0.0
1;105;15;14;3600.086;-0.9405610426766609;-0.9405610426766609;2.032394071884548;2.1608316522452755;8623517;16113;TIME_LIMIT;1.103092e6;2726;0.0;0.0;vertex;0.0
2;105;15;14;3600.207;-0.9388243702963155;-0.9388243702963155;1.9909734393387948;2.120709157465092;8390331;16119;TIME_LIMIT;1.177213e6;2917;0.0;0.0;vertex;0.0
3;105;15;14;3600.261;-0.7383807941644205;-0.7383807941644205;2.1685834686632086;2.9369445762971926;8424615;16701;TIME_LIMIT;3.145404e6;7359;0.0;0.0;vertex;0.0
1;300;25;24;3602.757;-0.2897416552052573;-0.2897416552052573;4.249305333894221;14.665841992529346;2705575;3729;TIME_LIMIT;1.186195e6;682;0.0;0.0;vertex;0.0
2;300;25;24;3603.175;-0.2713291276432296;-0.2713291276432296;4.413986118516328;16.2680142631803;2627976;3545;TIME_LIMIT;3.310654e6;1646;0.0;0.0;vertex;0.0
3;300;25;24;3603.008;-0.3379197803149326;-0.3379197803149326;4.296052251497471;12.713231073640202;2613530;3619;TIME_LIMIT;2.854471e6;1475;0.0;0.0;vertex;0.0
1;780;40;39;3601.144;-8.462721752512648e-15;-8.462721752512648e-15;6.462405532768061;7.63632046728858e14;1093401;1079;TIME_LIMIT;56428.0;17;0.0;0.0;vertex;0.0
2;780;40;39;3601.059;-5.536019530834966e-15;-5.536019530834966e-15;6.7045077583479085;1.2110701056968102e15;1076964;1133;TIME_LIMIT;391576.0;90;0.0;0.0;vertex;0.0
3;780;40;39;3601.126;-5.503458212898599e-15;-5.503458212898599e-15;6.356579496803278;1.1550154922418045e15;1072069;1235;TIME_LIMIT;3.450335e6;594;0.0;0.0;vertex;0.0
1;1770;60;59;3600.373;-3.0089504436069628e-15;-3.0089504436069628e-15;8.09744243397116;2.691118576304765e15;417758;423;TIME_LIMIT;253300.0;23;0.0;0.0;vertex;0.0
2;1770;60;59;3600.393;-3.822471192674178e-15;-3.822471192674178e-15;8.21085282211024;2.1480483195913835e15;420441;399;TIME_LIMIT;1.491647e6;94;0.0;0.0;vertex;0.0
3;1770;60;59;3600.404;-3.300108690732887e-15;-3.300108690732887e-15;8.440583333769588;2.5576682845240185e15;426673;399;TIME_LIMIT;1.192509e6;84;0.0;0.0;vertex;0.0
1;4950;100;99;3600.248;-3.376925858539447e-15;-3.376925858539447e-15;5.1282484743179415;1.5186144704213192e15;119513;327;TIME_LIMIT;719526.0;49;0.0;0.0;vertex;0.0
2;4950;100;99;3600.265;-3.0370358100620645e-15;-3.0370358100620645e-15;5.1432147106123045;1.693498210845001e15;127072;335;TIME_LIMIT;2.555996e6;132;0.0;0.0;vertex;0.0
3;4950;100;99;3600.279;-2.7423850446228354e-15;-2.7423850446228354e-15;5.171678335992001;1.8858323145148535e15;126965;331;TIME_LIMIT;2.77046e6;136;0.0;0.0;vertex;0.0
