seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source
1;80;26;40;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;80;26;40;3600.054;-11.945004391158015;-11.945004391158015;0.7502062002477192;0.06280501669828102;9066734;31515;TIME_LIMIT;11009.0;133;;;rounding
3;80;26;40;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;80;26;40;3600.027;-12.1521546637453;-12.1521546637453;1.0745401884453027;0.08842384072440113;9183577;25243;TIME_LIMIT;689032.0;3338;;;rounding
5;80;26;40;3600.007;-12.421129955283835;-12.421129955283835;2.0476861240090614;0.16485505999701697;10000778;8783;TIME_LIMIT;1.024446e6;1604;;;rounding
1;100;33;50;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;100;33;50;3600.607;-10.905054540749463;-10.905054540749463;0.5575705459982618;0.05112955133922165;5608221;42733;TIME_LIMIT;873728.0;6792;;;rounding
3;100;33;50;3601.396;-10.596137269033417;-10.596137269033417;0.46358306412440164;0.04375019427873926;4331970;62899;TIME_LIMIT;2.524745e6;23991;;;vertex
4;100;33;50;3600.044;-10.992490646441045;-10.992490646441045;1.0548335805095626;0.09595947037272012;6204494;20339;TIME_LIMIT;324300.0;1547;;;rounding
5;100;33;50;3601.686;-10.075350734694235;-10.075350734694235;0.44727611948682444;0.04439310662869925;3775753;70101;TIME_LIMIT;3.345557e6;33317;;;vertex
1;150;50;75;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;150;50;75;221.791;-8.318541096633986;-8.318541096633986;0.08314568196807848;0.009995224042557479;145316;4159;OPTIMAL;12927.0;128;;;rounding
3;150;50;75;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;150;50;75;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;150;50;75;217.357;-8.279314738921702;-8.279314738921702;0.08278351073015777;0.009998836055958358;123117;4395;OPTIMAL;98716.0;1036;;;rounding
1;200;66;100;3600.042;-9.229224884105232;-9.229224884105232;0.355148099712018;0.0384808154716938;1594906;5291;TIME_LIMIT;17157.0;53;;;rounding
2;200;66;100;3600.048;-9.351259694869182;-9.351259694869182;0.2185007491826756;0.023365916070383744;1607824;6385;TIME_LIMIT;134620.0;324;;;rounding
3;200;66;100;3600.044;-9.306877769003293;-9.306877769003293;0.4172924170213115;0.044836993391179004;1617994;4227;TIME_LIMIT;2.169474e6;1526;;;rounding
4;200;66;100;3486.571;-8.392496537594756;-8.392496537594756;0.08390874240525825;0.009998066967246678;1448862;13811;OPTIMAL;311370.0;1072;;;rounding
5;200;66;100;3600.047;-9.504766506563499;-9.504766506563499;0.5921289856581531;0.062298109611557476;1650707;4111;TIME_LIMIT;2.85049e6;1782;;;rounding
