seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration
1;100;10;15.0;3600.043;-0.8956026011644268;-89.56026011644268;0.3731244277682736;0.416618293965596;494364;30085;TIME_LIMIT;980939.0;4095
2;100;10;15.0;3600.021;-0.8162855786032751;-81.6285578603275;0.3651922423123831;0.4473829403396468;625454;38029;TIME_LIMIT;234144.0;1565
3;100;10;15.0;3600.082;-0.8730483034285484;-87.30483034285484;0.41232484449886064;0.47228182321598877;592312;33987;TIME_LIMIT;3.300606e6;15656
4;100;10;15.0;3600.019;-0.9107002140385808;-91.07002140385808;0.42526951285134384;0.4669698176147873;572766;32551;TIME_LIMIT;2.479585e6;11511
5;100;10;15.0;3600.034;-0.9419463890929839;-94.19463890929839;0.36240440660353623;0.38473994995883104;575665;34069;TIME_LIMIT;2.698501e6;12909
1;120;10;15.0;3600.013;-0.9946728637250482;-119.36074364700578;0.42947556995906644;0.4317756979422171;479149;27645;TIME_LIMIT;2.2225e6;8484
2;120;10;15.0;3600.022;-0.8936451898014756;-107.23742277617707;0.40019774038000067;0.4478262121781298;519423;29229;TIME_LIMIT;3.548283e6;14420
3;120;10;15.0;3600.036;-1.0574583574229717;-126.8950028907566;0.3203097183159087;0.3029052785553695;497516;29081;TIME_LIMIT;1.337949e6;5659
4;120;10;15.0;3600.099;-0.8736948282194945;-104.84337938633934;0.43407794618913265;0.496830165601119;518031;28887;TIME_LIMIT;1.952557e6;8053
5;120;10;15.0;3600.024;-1.0445311600221288;-125.34373920265546;0.41202188125659367;0.3944562852944137;493914;28851;TIME_LIMIT;3.17101e6;12777
1;150;12;18.0;3600.135;-0.878887188671958;-131.83307830079372;0.7248874174327784;0.8247786823791562;264825;13031;TIME_LIMIT;894244.0;1549
2;150;12;18.0;3600.029;-0.9752493126367663;-146.28739689551495;0.6197059314019335;0.6354333434252256;296070;14639;TIME_LIMIT;758651.0;1539
3;150;12;18.0;3600.137;-0.8942501320265736;-134.13751980398604;0.7215189727924135;0.8068424559885587;295683;14261;TIME_LIMIT;3.242871e6;6403
4;150;12;18.0;3600.044;-0.930134578330505;-139.52018674957574;0.638014239027009;0.6859375555870403;298472;14579;TIME_LIMIT;2.402208e6;4937
5;150;12;18.0;3600.023;-1.0486332931357911;-157.29499397036867;0.6175732473018243;0.5889315658241766;307573;15319;TIME_LIMIT;520632.0;1213
1;50;7;10.0;3600.301;-0.6598948947686437;-32.99474473843219;0.09812654677406518;0.14870026659089083;1079767;132789;TIME_LIMIT;318326.0;12255
2;50;7;10.0;3600.294;-0.6785467060591239;-33.927335302956195;0.09407073066687988;0.1386356013917238;1078413;135355;TIME_LIMIT;176721.0;8270
3;50;7;10.0;3600.553;-0.6964447883728743;-34.82223941864371;0.13196689821089658;0.18948651840616823;1080442;126409;TIME_LIMIT;12424.0;648
4;50;7;10.0;3600.55;-0.6856937571458357;-34.284687857291786;0.08139952215494561;0.11871119039170906;1032119;128379;TIME_LIMIT;1600.0;123
5;50;7;10.0;3600.803;-0.6526737887860726;-32.63368943930363;0.12724378724222796;0.19495771000531897;1038919;119369;TIME_LIMIT;28363.0;1325
1;80;8;12.0;3600.047;-1.0035501932143693;-80.28401545714955;0.20580011692759492;0.20507207145107267;717319;58479;TIME_LIMIT;35621.0;404
2;80;8;12.0;3600.028;-0.8693272921435614;-69.54618337148491;0.1672060818256872;0.19233962091929196;753587;60787;TIME_LIMIT;10709.0;168
3;80;8;12.0;3600.068;-0.8054736491888079;-64.43789193510463;0.2560853571139037;0.3179313902718073;733163;58395;TIME_LIMIT;941104.0;8837
4;80;8;12.0;3600.046;-0.8823794236966437;-70.5903538957315;0.19212818618708527;0.21773874257196832;761375;62729;TIME_LIMIT;351940.0;3669
5;80;8;12.0;3600.973;-0.8619484131774695;-68.95587305419755;0.22214102156289095;0.25771962470931953;704650;57013;TIME_LIMIT;33530.0;528
