dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,quasi_optimal,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
50,Boscia,10,10,100.0,55.2589,351.5888,,0,0,3.4426692e6,5039.2,0.0,0.0
80,Boscia,10,7,70.0,764.0956,1782.5161,0.082515,0,0,1.153097157e7,7167.57,0.0,0.0
100,Boscia,10,5,50.0,2063.89,1392.8274,0.209849,0,0,1.49735158e7,4822.2,0.0,0.0
120,Boscia,10,2,20.0,3162.1413,725.8833,0.151271,0,0,1.8920732e7,5101.0,0.0,0.0
150,Boscia,10,0,0.0,3600.0037,0.0025,0.181924,0,0,0.0,0.0,0.0,0.0
50,Boscia (baseline),10,10,100.0,55.2589,351.5888,,0,0,3.4426692e6,5039.2,0.0,0.0
80,Boscia (baseline),10,7,70.0,764.0956,1782.5161,0.082515,0,0,1.153097157e7,7167.57,0.0,0.0
100,Boscia (baseline),10,5,50.0,2063.89,1392.8274,0.209849,0,0,1.49735158e7,4822.2,0.0,0.0
120,Boscia (baseline),10,2,20.0,3162.1413,725.8833,0.151271,0,0,1.8920732e7,5101.0,0.0,0.0
150,Boscia (baseline),10,0,0.0,3600.0037,0.0025,0.181924,0,0,0.0,0.0,0.0,0.0
-1,Boscia,50,24,48.0,1001.4649,2004.1875,0.161265,0,0,9.49385567e6,5619.92,0.0,0.0
-1,Boscia (baseline),50,24,48.0,1001.4649,2004.1875,0.161265,0,0,9.49385567e6,5619.92,0.0,0.0
