N,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances
5,Boscia,5,0,0.0,3611.7515,0.8214,4.948353493727558e13,0
10,Boscia,5,3,60.0,1031.604,1753.1132,0.078581,0
20,Boscia,5,1,20.0,1420.9878,2045.2897,0.065493,0
6,Boscia,5,0,0.0,3608.8897,1.0311,1.1534441356544402e14,0
12,Boscia,5,0,0.0,3600.0112,0.0038,0.087609,0
24,Boscia,5,3,60.0,3047.7833,497.652,0.012367,0
7,Boscia,10,0,0.0,3602.9454,3.2099,1.4506327266895844e14,5
15,Boscia,10,4,40.0,1798.7019,1574.4882,,6
34,Boscia,10,0,0.0,3600.0081,0.0013,0.036305,0
9,Boscia,5,0,0.0,3600.0,0.0,,5
18,Boscia,5,5,100.0,805.1682,11.498,,0
44,Boscia,5,0,0.0,3600.0054,0.001,0.06005,0
5,SCIPSDP_oa,5,0,0.0,3600.0019,0.0024,102238.832301,3
10,SCIPSDP_oa,5,5,100.0,14.1116,25.2494,,0
20,SCIPSDP_oa,5,5,100.0,2.9487,8.6963,,0
6,SCIPSDP_oa,5,0,0.0,3600.0,0.0,,5
12,SCIPSDP_oa,5,5,100.0,248.9155,181.0961,,0
24,SCIPSDP_oa,5,5,100.0,31.3913,44.3737,,0
7,SCIPSDP_oa,10,0,0.0,3600.0005,0.0003,9.999999999999936e19,0
15,SCIPSDP_oa,10,0,0.0,3600.0,0.0,,10
34,SCIPSDP_oa,10,0,0.0,3600.0,0.0,,10
9,SCIPSDP_oa,5,0,0.0,3600.0006,0.0007,1.0000000000000007e20,0
18,SCIPSDP_oa,5,0,0.0,3600.0005,0.0002,0.651422,0
44,SCIPSDP_oa,5,0,0.0,3600.3746,0.7453,0.072868,0
5,SCIPSDP_bnb,5,0,0.0,3600.0045,0.0023,8.83054532365e6,0
10,SCIPSDP_bnb,5,5,100.0,57.5004,7.6494,,0
20,SCIPSDP_bnb,5,5,100.0,52.1355,1.8329,,0
6,SCIPSDP_bnb,5,0,0.0,3600.006,0.0008,4.82503291893336e8,0
12,SCIPSDP_bnb,5,5,100.0,171.8615,78.8704,,0
24,SCIPSDP_bnb,5,5,100.0,73.3495,9.7569,,0
7,SCIPSDP_bnb,10,0,0.0,3600.0107,0.0082,1.9059425945943768e10,0
15,SCIPSDP_bnb,10,0,0.0,3600.005,0.0015,0.093016,0
34,SCIPSDP_bnb,10,5,50.0,2659.0989,938.0849,0.020304,0
9,SCIPSDP_bnb,5,0,0.0,3600.0124,0.0147,3.854120301178252e9,0
18,SCIPSDP_bnb,5,0,0.0,3600.0048,0.0015,0.2378,0
44,SCIPSDP_bnb,5,0,0.0,3600.0041,0.0013,0.030891,0
