dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
45,Boscia,3,1,33.33,2393.4182,1251.0326,0.049995,0,1.651415e6,52745.0,0.0,0.0
66,Boscia,3,0,0.0,3600.025,0.0057,0.600739,0,0.0,0.0,0.0,0.0
105,Boscia,3,0,0.0,3600.2663,0.1869,2.008997,0,0.0,0.0,0.0,0.0
300,Boscia,3,0,0.0,3602.4137,0.0005,5.965686,0,0.0,0.0,0.0,0.0
780,Boscia,3,0,0.0,3600.8523,0.0308,11.590851,0,0.0,0.0,0.0,0.0
1770,Boscia,3,0,0.0,3600.2943,0.0144,21.358233,0,0.0,0.0,0.0,0.0
4950,Boscia,3,0,0.0,3600.086,0.0088,57.511544,0,0.0,0.0,0.0,0.0
45,Boscia (rank pruning),3,3,100.0,41.6674,4.6909,,0,143735.33,3834.67,0.0,0.0
66,Boscia (rank pruning),3,1,33.33,3287.6166,405.4241,0.172368,0,1.0044801e7,16110.0,0.0,0.0
105,Boscia (rank pruning),3,0,0.0,3600.259,0.1823,1.959993,0,0.0,0.0,0.0,0.0
300,Boscia (rank pruning),3,0,0.0,3602.404,0.0772,5.9124,0,0.0,0.0,0.0,0.0
780,Boscia (rank pruning),3,0,0.0,3600.829,0.017,11.744151,0,0.0,0.0,0.0,0.0
1770,Boscia (rank pruning),3,0,0.0,3600.2453,0.0246,22.008448,0,0.0,0.0,0.0,0.0
4950,Boscia (rank pruning),3,0,0.0,3600.1047,0.0056,57.514237,0,0.0,0.0,0.0,0.0
