dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
45,ACST (rank pruning),3,3,100.0,28.4055,16.8735,,0,142158.67,3826.67,0.0,0.0
66,ACST (rank pruning),3,1,33.33,3287.6166,405.4241,0.172368,0,1.0044801e7,16110.0,0.0,0.0
105,ACST (rank pruning),3,0,0.0,3600.259,0.1823,1.959993,0,0.0,0.0,0.0,0.0
300,ACST (rank pruning),3,0,0.0,3602.404,0.0772,5.9124,0,0.0,0.0,0.0,0.0
780,ACST (rank pruning),3,0,0.0,3600.829,0.017,11.744151,0,0.0,0.0,0.0,0.0
1770,ACST (rank pruning),3,0,0.0,3600.2453,0.0246,22.008448,0,0.0,0.0,0.0,0.0
4950,ACST (rank pruning),3,0,0.0,3600.1047,0.0056,57.514237,0,0.0,0.0,0.0,0.0
45,Pajarito,3,0,0.0,3600.0,0.0,0.508574,0,0.0,0.0,0.0,0.0
66,Pajarito,3,0,0.0,3600.0,0.0,0.746728,0,0.0,0.0,0.0,0.0
105,Pajarito,3,0,0.0,3600.0023,0.0033,0.945688,0,0.0,0.0,0.0,0.0
300,Pajarito,3,0,0.0,3600.0,0.0,,0,0.0,0.0,0.0,0.0
780,Pajarito,3,0,0.0,3600.0,0.0,,0,0.0,0.0,0.0,0.0
1770,Pajarito,3,0,0.0,3600.0,0.0,,0,0.0,0.0,0.0,0.0
4950,Pajarito,3,0,0.0,3600.0,0.0,,2,0.0,0.0,0.0,0.0
