N_construction,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
rank_deficient,Boscia,25,0,0.0,3603.4548,0.5215,5.236697450098176e14,0,0.0,0.0,0.0,0.0
rank_deficient,Boscia (excl.),25,0,0.0,3600.0,0.0,,25,0.0,0.0,0.0,0.0
rank_deficient,Boscia (excl. random),25,0,0.0,3600.0,0.0,,25,0.0,0.0,0.0,0.0
rank_deficient,Boscia (excl. tighter tol),25,0,0.0,3600.0,0.0,,25,0.0,0.0,0.0,0.0
rank_deficient,Boscia (dual excl.),25,0,0.0,3600.0,0.0,,25,0.0,0.0,0.0,0.0
rank_deficient,SCIPSDP_oa,25,0,0.0,3600.0013,0.0011,2.091703911845127e9,1,0.0,0.0,0.0,0.0
rank_deficient,SCIPSDP_bnb,25,0,0.0,3600.0066,0.0066,468590.63773,0,0.0,0.0,0.0,0.0
one,Boscia,25,0,0.0,3603.4365,1.0456,1.736995,0,0.0,0.0,0.0,0.0
one,Boscia (excl.),25,0,0.0,3603.3213,1.2641,1.780351,1,0.0,0.0,0.0,0.0
one,Boscia (excl. random),25,0,0.0,3603.4008,1.2916,1.789883,1,0.0,0.0,0.0,0.0
one,Boscia (excl. tighter tol),25,0,0.0,3603.7719,2.8782,1.772517,8,0.0,0.0,0.0,0.0
one,Boscia (dual excl.),25,0,0.0,3603.3434,1.1767,1.813504,1,0.0,0.0,0.0,0.0
one,SCIPSDP_oa,25,8,32.0,1451.5078,1888.6235,0.54485,0,0.0,24454.88,137880.75,0.0
one,SCIPSDP_bnb,25,10,40.0,1080.8665,2034.5468,0.180399,0,0.0,68225.3,0.0,1.6643306e6
log,Boscia,25,0,0.0,3602.2215,0.5144,1.166896,0,0.0,0.0,0.0,0.0
log,Boscia (excl.),25,0,0.0,3602.2228,0.5511,1.156868,0,0.0,0.0,0.0,0.0
log,Boscia (excl. random),25,0,0.0,3602.2161,0.6017,1.161834,0,0.0,0.0,0.0,0.0
log,Boscia (excl. tighter tol),25,0,0.0,3604.525,1.4903,1.194499,0,0.0,0.0,0.0,0.0
log,Boscia (dual excl.),25,0,0.0,3602.1963,0.5943,1.17205,0,0.0,0.0,0.0,0.0
log,SCIPSDP_oa,25,5,20.0,1332.7084,2109.1309,0.115908,0,0.0,4747.8,21690.8,0.0
log,SCIPSDP_bnb,25,10,40.0,1341.468,1897.8041,0.047906,0,0.0,123369.4,0.0,3.9726485e6
