dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,quasi_optimal,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
45,ACST (Boscia),3,0,0.0,3607.7181,5.4932,0.265213,0,1,0.0,0.0,0.0,0.0
66,ACST (Boscia),3,0,0.0,3600.0,0.0,0.044234,0,3,0.0,0.0,0.0,0.0
105,ACST (Boscia),3,1,33.33,1725.8343,1718.468,0.305564,0,0,1.729238e6,1859.0,0.0,0.0
300,ACST (Boscia),3,0,0.0,3605.5037,0.3322,1.132282,0,0,0.0,0.0,0.0,0.0
780,ACST (Boscia),3,0,0.0,3601.969,0.0603,2.217965,0,0,0.0,0.0,0.0,0.0
1770,ACST (Boscia),3,0,0.0,3600.5437,0.0039,3.864615,0,0,0.0,0.0,0.0,0.0
4950,ACST (Boscia),3,0,0.0,3600.15,0.0037,25.12868,0,0,0.0,0.0,0.0,0.0
45,ACST (baseline),3,3,100.0,500.8269,356.1581,,0,0,1.07435567e6,37688.33,0.0,0.0
66,ACST (baseline),3,0,0.0,3600.025,0.0057,0.600739,0,0,0.0,0.0,0.0,0.0
105,ACST (baseline),3,0,0.0,3600.2663,0.1869,2.008997,0,0,0.0,0.0,0.0,0.0
300,ACST (baseline),3,0,0.0,3602.4137,0.0005,5.965686,0,0,0.0,0.0,0.0,0.0
780,ACST (baseline),3,0,0.0,3600.8523,0.0308,11.590851,0,0,0.0,0.0,0.0,0.0
1770,ACST (baseline),3,0,0.0,3600.2943,0.0144,21.358233,0,0,0.0,0.0,0.0,0.0
4950,ACST (baseline),3,0,0.0,3600.086,0.0088,57.511544,0,0,0.0,0.0,0.0,0.0
-1,ACST (Boscia),21,1,4.76,3243.1068,714.0347,1.039897,0,4,1.729238e6,1859.0,0.0,0.0
-1,ACST (baseline),21,3,14.29,2716.4193,1152.1187,6.841115,0,0,1.07435567e6,37688.33,0.0,0.0
