N_construction,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
rank_deficient,Boscia,25,0,0.0,3613.9632,6.7404,1.3824570414159767e14,0,0.0,0.0,0.0,0.0
rank_deficient,Boscia (excl.),25,0,0.0,3600.0,0.0,,25,0.0,0.0,0.0,0.0
rank_deficient,SCIPSDP_oa,25,0,0.0,3600.0007,0.0013,1.723555996436551e18,8,0.0,0.0,0.0,0.0
rank_deficient,SCIPSDP_bnb,25,0,0.0,3600.0089,0.009,1.429310356638596e9,0,0.0,0.0,0.0,0.0
one,Boscia,25,2,8.0,3161.1869,741.7269,0.709196,0,3.80025e6,115384.0,0.0,0.0
one,Boscia (excl.),25,1,4.0,3226.1853,701.9291,0.725573,1,2.153161e6,39201.0,0.0,0.0
one,SCIPSDP_oa,25,10,40.0,696.4771,2276.8885,0.651422,10,0.0,6785.9,120859.4,0.0
one,SCIPSDP_bnb,25,10,40.0,856.5482,2175.8068,0.127187,0,0.0,13690.8,0.0,326896.1
log,Boscia,25,1,4.0,3155.0365,745.2822,0.233971,0,870126.0,30613.0,0.0,0.0
log,Boscia (excl.),25,1,4.0,3083.8828,786.0295,0.232137,0,604024.0,17953.0,0.0,0.0
log,SCIPSDP_oa,25,10,40.0,336.5729,2535.4567,0.072868,10,0.0,2537.6,21023.3,0.0
log,SCIPSDP_bnb,25,15,60.0,627.5677,2045.8899,0.025044,0,0.0,34239.4,0.0,1.1996402e6
