dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,quasi_optimal,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
80,Boscia,5,1,20.0,1307.7589,2129.5145,0.135664,0,0,61336.0,803.0,0.0,0.0
100,Boscia,5,1,20.0,921.539,2430.8589,0.14715,0,0,1653.0,35.0,0.0,0.0
150,Boscia,5,0,0.0,3600.4996,0.2786,0.233056,0,0,0.0,0.0,0.0,0.0
200,Boscia,5,0,0.0,3600.6764,0.1499,0.225044,0,0,0.0,0.0,0.0,0.0
80,Boscia (baseline),5,1,20.0,1307.7589,2129.5145,0.135664,0,0,61336.0,803.0,0.0,0.0
100,Boscia (baseline),5,1,20.0,921.539,2430.8589,0.14715,0,0,1653.0,35.0,0.0,0.0
150,Boscia (baseline),5,0,0.0,3600.4996,0.2786,0.233056,0,0,0.0,0.0,0.0,0.0
200,Boscia (baseline),5,0,0.0,3600.6764,0.1499,0.225044,0,0,0.0,0.0,0.0,0.0
-1,Boscia,20,2,10.0,1988.3358,1652.078,0.184774,0,0,31494.5,419.0,0.0,0.0
-1,Boscia (baseline),20,2,10.0,1988.3358,1652.078,0.184774,0,0,31494.5,419.0,0.0,0.0
