N,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances
5,Boscia,5,0,0.0,3602.3142,0.0957,2.917785736290012e14,0
10,Boscia,5,0,0.0,3600.0,0.0,,5
20,Boscia,5,0,0.0,3601.6044,0.3362,0.490519,0
6,Boscia,5,0,0.0,3605.1612,0.1494,1.8021253480093003e14,0
12,Boscia,5,0,0.0,3600.0768,0.0139,0.826255,0
24,Boscia,5,0,0.0,3602.6202,0.2683,0.245113,0
7,Boscia,10,0,0.0,3604.7531,0.3429,3.7502986610212956e14,0
15,Boscia,10,0,0.0,3600.0239,0.0081,0.701715,0
34,Boscia,10,0,0.0,3603.3325,0.2896,0.584767,0
9,Boscia,5,0,0.0,3603.4258,0.2452,4.303981629943845e14,0
18,Boscia,5,0,0.0,3600.0422,0.0172,0.494225,0
44,Boscia,5,0,0.0,3602.7364,0.2208,1.197364,0
5,SCIPSDP_oa,5,0,0.0,3600.0016,0.0009,798.436148,1
10,SCIPSDP_oa,5,5,100.0,55.017,104.2773,,0
20,SCIPSDP_oa,5,5,100.0,25.0303,29.3808,,0
6,SCIPSDP_oa,5,0,0.0,3600.002,0.0009,240275.125508,0
12,SCIPSDP_oa,5,3,60.0,2510.0669,853.1073,0.097787,0
24,SCIPSDP_oa,5,0,0.0,3600.0014,0.0004,0.056495,0
7,SCIPSDP_oa,10,0,0.0,3600.001,0.0012,9.469441406095255e13,0
15,SCIPSDP_oa,10,0,0.0,3600.0304,0.0884,0.608887,0
34,SCIPSDP_oa,10,0,0.0,3600.0007,0.0004,0.131432,0
9,SCIPSDP_oa,5,0,0.0,3600.0006,0.0005,1.21129887410484e9,0
18,SCIPSDP_oa,5,0,0.0,3600.0007,0.0006,0.867271,0
44,SCIPSDP_oa,5,0,0.0,3600.0003,0.0002,0.184945,0
5,SCIPSDP_bnb,5,0,0.0,3600.0034,0.0008,8466.873305,0
10,SCIPSDP_bnb,5,5,100.0,70.9332,20.1686,,0
20,SCIPSDP_bnb,5,5,100.0,68.0224,20.4176,,0
6,SCIPSDP_bnb,5,0,0.0,3600.0082,0.0039,530028.128509,0
12,SCIPSDP_bnb,5,5,100.0,445.7594,739.7079,,0
24,SCIPSDP_bnb,5,5,100.0,1368.8003,1034.1774,,0
7,SCIPSDP_bnb,10,0,0.0,3600.0092,0.009,1.332185407407e6,0
15,SCIPSDP_bnb,10,0,0.0,3600.0102,0.0175,0.141938,0
34,SCIPSDP_bnb,10,0,0.0,3600.0055,0.0018,0.038646,0
9,SCIPSDP_bnb,5,0,0.0,3600.0032,0.0012,2.836721582218e6,0
18,SCIPSDP_bnb,5,0,0.0,3600.004,0.0011,0.291411,0
44,SCIPSDP_bnb,5,0,0.0,3600.003,0.0008,0.073615,0
