dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
45,Boscia,3,1,33.33,3259.5161,440.4269,0.085921,0,2.494237e6,94501.0,0.0,0.0
66,Boscia,3,0,0.0,3600.028,0.0065,0.736791,0,0.0,0.0,0.0,0.0
105,Boscia,3,0,0.0,3600.185,0.0629,2.380069,0,0.0,0.0,0.0,0.0
300,Boscia,3,0,0.0,3603.1253,0.0879,14.478606,0,0.0,0.0,0.0,0.0
780,Boscia,3,0,0.0,3601.1253,0.0318,1.0223157188714219e15,0,0.0,0.0,0.0,0.0
1770,Boscia,3,0,0.0,3600.3583,0.0141,2.4585970293036985e15,0,0.0,0.0,0.0,0.0
4950,Boscia,3,0,0.0,3600.097,0.0049,1.693076447000909e15,0,0.0,0.0,0.0,0.0
45,Boscia (rank pruning),3,3,100.0,57.6565,15.7702,,0,238681.67,4670.33,0.0,0.0
66,Boscia (rank pruning),3,0,0.0,3600.018,0.0083,0.251062,0,0.0,0.0,0.0,0.0
105,Boscia (rank pruning),3,0,0.0,3600.182,0.062,2.374551,0,0.0,0.0,0.0,0.0
300,Boscia (rank pruning),3,0,0.0,3602.9827,0.0694,14.478379,0,0.0,0.0,0.0,0.0
780,Boscia (rank pruning),3,0,0.0,3601.1823,0.0802,1.0223679378044462e15,0,0.0,0.0,0.0,0.0
1770,Boscia (rank pruning),3,0,0.0,3600.362,0.0037,2.458855768383273e15,0,0.0,0.0,0.0,0.0
4950,Boscia (rank pruning),3,0,0.0,3600.09,0.0085,1.6930517292466615e15,0,0.0,0.0,0.0,0.0
45,Boscia (excl.),3,0,0.0,3600.0,0.0,,3,0.0,0.0,0.0,0.0
66,Boscia (excl.),3,0,0.0,3600.027,0.0049,0.735942,0,0.0,0.0,0.0,0.0
105,Boscia (excl.),3,0,0.0,3600.1847,0.0732,2.378661,0,0.0,0.0,0.0,0.0
300,Boscia (excl.),3,0,0.0,3602.98,0.1718,14.475464,0,0.0,0.0,0.0,0.0
780,Boscia (excl.),3,0,0.0,3601.1097,0.0366,1.0222263692191411e15,0,0.0,0.0,0.0,0.0
1770,Boscia (excl.),3,0,0.0,3600.39,0.0128,2.454371878348492e15,0,0.0,0.0,0.0,0.0
4950,Boscia (excl.),3,0,0.0,3600.264,0.0127,1.6926939803766848e15,0,0.0,0.0,0.0,0.0
