dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,quasi_optimal,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
50,Boscia,10,7,70.0,38.0098,1951.1522,0.048026,0,3,73012.43,193.29,0.0,0.0
80,Boscia,10,8,80.0,110.5223,1576.4628,0.049799,0,2,1.29634775e6,1723.0,0.0,0.0
100,Boscia,10,5,50.0,315.7678,2331.2802,0.084866,0,3,199030.0,837.0,0.0,0.0
120,Boscia,10,5,50.0,347.9132,2312.8655,0.160061,0,1,199873.8,535.4,0.0,0.0
150,Boscia,10,5,50.0,583.6956,2165.0746,0.614736,0,0,387581.0,471.4,0.0,0.0
50,Boscia (baseline),10,0,0.0,3601.7523,0.3542,0.218661,0,0,0.0,0.0,0.0,0.0
80,Boscia (baseline),10,0,0.0,3602.2251,0.9451,0.373081,1,0,0.0,0.0,0.0,0.0
100,Boscia (baseline),10,0,0.0,3603.6228,1.005,0.522274,0,0,0.0,0.0,0.0,0.0
120,Boscia (baseline),10,0,0.0,3603.4332,1.1301,0.508371,0,0,0.0,0.0,0.0,0.0
150,Boscia (baseline),10,0,0.0,3603.8046,1.3913,0.617775,0,0,0.0,0.0,0.0,0.0
-1,Boscia,50,30,60.0,193.2298,2161.3711,0.142027,0,9,493809.77,811.87,0.0,0.0
-1,Boscia (baseline),50,0,0.0,3602.9675,1.3128,0.423047,1,0,0.0,0.0,0.0,0.0
