seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,tightened,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters
1,80,26,0.7994899999999999,40,12.255435510787201,12.85982374354696,0.04931593269188821,false,-12.255435510787201,OPTIMAL,true,3,545,75,0
2,80,26,0.255146,40,11.832810012508366,12.263828819284331,0.03642573541874995,false,-11.832810012508354,OPTIMAL,true,3,364,69,0
3,80,26,1.223596,40,12.231592758242213,12.832573621088224,0.04913349182926669,false,-12.231592758242213,OPTIMAL,true,11,1171,146,0
4,80,26,0.413452,40,11.996582458566017,12.508081943142008,0.042637099885956306,false,-11.996582458566019,OPTIMAL,true,3,384,72,0
5,80,26,2.606268,40,12.250143822042297,12.862164530295608,0.04996028758063002,false,-12.250143822042299,OPTIMAL,true,57,16501,463,0
1,100,33,0.61975,50,10.938411307074379,11.383462353300391,0.040686991349299276,false,-10.938411307074386,OPTIMAL,true,4,699,101,0
2,100,33,0.45813499999999996,50,10.827323717463633,11.149521557796557,0.029757846790268595,false,-10.827323717463628,OPTIMAL,true,3,330,65,0
3,100,33,0.347387,50,10.258869596325875,10.740447289683829,0.046942568948378754,false,-10.258869596325862,OPTIMAL,true,14,769,141,0
4,100,33,0.724169,50,10.866701160584578,11.361037306006251,0.045490911925940965,false,-10.866701160584576,OPTIMAL,true,4,666,99,0
5,100,33,0.131301,50,10.013327326410847,10.209550436484781,0.01959619451931644,false,-10.013327326410849,OPTIMAL,true,3,279,64,0
1,150,50,0.20532299999999998,75,8.989963624967139,9.31490246698979,0.03614462255667244,false,-8.989963624967123,OPTIMAL,true,3,415,75,0
2,150,50,0.167928,75,8.158773093144672,8.451103543706816,0.035830197411394066,false,-8.158773093144676,OPTIMAL,true,5,249,70,0
3,150,50,0.897007,75,8.995606299939759,9.347778509411704,0.039149357778619484,false,-8.995606299939759,OPTIMAL,true,4,415,101,0
4,150,50,0.358464,75,9.343832229846432,9.677483309064284,0.03570816245523868,false,-9.34383222984643,OPTIMAL,true,5,638,122,0
5,150,50,0.16205699999999998,75,8.176285112471371,8.486645398796187,0.03795859391588729,false,-8.176285112471367,OPTIMAL,true,4,241,74,0
1,200,66,1.023217,100,9.082621877369556,9.530326632702106,0.049292457770157797,false,-9.08262187736955,OPTIMAL,true,7,898,124,0
2,200,66,0.547453,100,9.1830659509945,9.613845659863806,0.04691022706013055,false,-9.183065950994493,OPTIMAL,true,3,625,98,0
3,200,66,3.733398,100,9.04612168073284,9.498032009778663,0.049956251418587304,false,-9.046121680732842,OPTIMAL,true,94,3109,393,0
4,200,66,0.49515099999999995,100,8.274420558460134,8.668092651956615,0.04757699837893453,false,-8.27442055846013,OPTIMAL,true,6,484,119,0
5,200,66,1.484523,100,9.361342094255276,9.824567201275674,0.049482766718317264,false,-9.361342094255267,OPTIMAL,true,7,1038,145,0
