seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters,tightened
1,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
2,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
3,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
4,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
5,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
1,50,7,56.691947,10,0.6598948946922201,0.6928530295030356,0.04994452158352805,-0.6598948947686418,OPTIMAL,true,1117,0,0,29426,false
2,50,7,56.815768,10,0.6785467052276528,0.7121642146678985,0.049543397943354495,-0.6785467060591251,OPTIMAL,true,1251,0,0,29786,false
3,50,7,79.057215,10,0.6964447498762757,0.7312402310433022,0.049961581551455345,-0.6964447883728754,OPTIMAL,true,5969,0,0,156635,false
4,50,7,54.234958,10,0.6856937516911633,0.7197405900526307,0.049653126162365974,-0.6856937571458355,OPTIMAL,true,797,0,0,19509,false
5,50,7,83.942818,10,0.6526730705523442,0.6853025834173126,0.049993655839599284,-0.6526737887860717,OPTIMAL,true,5851,0,0,166971,false
1,50,7,51.068932,20,1.3990035854663452,1.468263800172739,0.04950681715608799,-1.399003629813532,OPTIMAL,true,154,0,0,4266,false
2,50,7,50.206849,20,1.5505104777858885,1.6142452144441624,0.041105647186136005,-1.5505104781410823,OPTIMAL,true,18,0,0,516,false
3,50,7,54.592272,20,1.6341773850625994,1.7158818061457048,0.04999727803721608,-1.6341773859338198,OPTIMAL,true,753,0,0,20768,false
4,50,7,50.3004,20,1.4045643188059072,1.464243656410962,0.042489572606964225,-1.4045643188962362,OPTIMAL,true,34,0,0,996,false
5,50,7,54.349184,20,1.4710466643526527,1.5445653131777157,0.049977101751164044,-1.4710466643537212,OPTIMAL,true,699,0,0,18636,false
1,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
2,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
3,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
4,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
5,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
1,80,8,190.864535,12,1.003550193131316,1.0537265544531287,0.04999885572763478,-1.0035501932143696,OPTIMAL,true,19181,0,0,553615,false
2,80,8,113.16572,12,0.8693269527197354,0.912792489204947,0.0499990669209409,-0.869327292143562,OPTIMAL,true,7377,0,0,222164,false
3,80,8,1089.393066,12,0.8054736294666919,0.8457470505269175,0.04999967669567384,-0.8054736491888068,OPTIMAL,true,136859,0,0,4167718,false
4,80,8,149.444325,12,0.8823790305293351,0.9264933726879525,0.049994776204227605,-0.8823794236966438,OPTIMAL,true,12291,0,0,363618,false
5,80,8,664.945175,12,0.861948408238542,0.905045664850396,0.049999809965339446,-0.8619484131774704,OPTIMAL,true,42869,0,0,1323516,false
1,80,8,53.455806,24,2.317953664643608,2.4338401100993705,0.04999515185459091,-2.3179536657323903,OPTIMAL,true,341,0,0,8227,false
2,80,8,100.61697,24,1.892751251141843,1.9873878682866697,0.04999950050897346,-1.8927512511715274,OPTIMAL,true,6197,0,0,147836,false
3,80,8,81.588851,24,1.9346887551618792,2.031417704209635,0.04999716300085806,-1.934688963971006,OPTIMAL,true,4079,0,0,92019,false
4,80,8,82.989585,24,2.000763978769604,2.100790682391215,0.049994254536271515,-2.0007639789968747,OPTIMAL,true,3279,0,0,79500,false
5,80,8,85.567492,24,1.982484986564755,2.0815965425216216,0.04999359724211933,-1.982485195190445,OPTIMAL,true,4323,0,0,103083,false
1,100,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
2,100,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
3,100,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
4,100,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
5,100,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
1,100,10,3600.005548,15,0.8980018347041011,1.0045089677797077,0.11860458293016908,-0.8980018363388458,TIME_LIMIT,true,220194,0,0,5285504,false
2,100,10,3600.003629,15,0.8399712683892907,0.918434089691846,0.09341131566680108,-0.8399712729168419,TIME_LIMIT,true,305705,0,0,8066967,false
3,100,10,3600.005874,15,0.9012871297524586,1.0599639513066237,0.17605579433686816,-0.9012873191542672,TIME_LIMIT,true,239573,0,0,5266357,false
4,100,10,3600.00918,15,0.937139208529452,1.116265991242967,0.19114212817389084,-0.9371392119192468,TIME_LIMIT,true,245398,0,0,5386374,false
5,100,10,3600.006167,15,0.9503762518901021,1.0678979775088144,0.12365810423501837,-0.9503762560798368,TIME_LIMIT,true,235774,0,0,5435508,false
1,100,10,118.335306,34,2.466970312728596,2.5903181263431083,0.04999971543155034,-2.4669703130172436,OPTIMAL,true,3755,0,0,87148,false
2,100,10,78.755137,34,2.310868646978595,2.4119511567838114,0.04374221353402304,-2.3108709225471973,OPTIMAL,true,1535,0,0,35489,false
3,100,10,3600.005784,34,2.6276250533542385,2.772874128627922,0.05527770223086771,-2.627625617785935,TIME_LIMIT,true,224647,0,0,4988897,false
4,100,10,3003.196352,34,2.776290302163448,2.915104659931157,0.04999994332708541,-2.776291974266247,OPTIMAL,true,184373,0,0,4083648,false
5,100,10,477.386244,34,2.583035050256724,2.712185784778141,0.04999960589330022,-2.583035208928014,OPTIMAL,true,27131,0,0,621410,false
1,120,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
2,120,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
3,120,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
4,120,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
5,120,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
1,120,10,3600.005214,15,1.0180044652320341,1.173917623256667,0.15315567205208236,-1.018004465417664,TIME_LIMIT,true,186541,0,0,4264034,false
