seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters,tightened
1,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
2,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
3,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
4,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
5,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
1,50,7,19.416363,10,0.6563349813967123,0.6891219547264728,0.049954633318474335,-0.6563349813967121,OPTIMAL,true,1187,151982,8418,0,false
2,50,7,25.859486,10,0.6498354222497218,0.6823085713912589,0.04997134355821275,-0.6498354222497225,OPTIMAL,true,1453,186709,10094,0,false
3,50,7,157.148893,10,0.6944398149371651,0.7152705722025287,0.029996490433441474,-0.6944398149371647,OPTIMAL,true,9996,829670,76148,0,false
4,50,7,14.297847,10,0.6856937571458357,0.6990033553123929,0.01941041175868028,-0.6856937571458355,OPTIMAL,true,854,112283,6818,0,false
5,50,7,233.734653,10,0.652673788786073,0.6592982329297467,0.010149701516273065,-0.6526737887860717,OPTIMAL,true,15377,1175089,114017,0,false
1,50,7,10.684517,20,1.3722501844821253,1.440844996884962,0.04998710379384912,-1.3722501844821238,OPTIMAL,true,1100,98531,4989,0,false
2,50,7,0.831855,20,1.5068989196184193,1.5821311571940417,0.049925205065959544,-1.5068989196184182,OPTIMAL,true,109,8318,773,0,false
3,50,7,9.245569,20,1.6247267883900076,1.7059606871796784,0.049998497821389404,-1.6247267883900074,OPTIMAL,true,865,97974,4839,0,false
4,50,7,0.12229699999999999,20,1.4022681462332633,1.4721706688890606,0.04984961174763013,-1.402268146233269,OPTIMAL,true,12,641,144,0,false
5,50,7,6.308541,20,1.4735010073641466,1.5471045810822026,0.049951491957050544,-1.4735010073641448,OPTIMAL,true,533,88509,3027,0,false
1,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
2,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
3,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
4,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
5,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
1,80,8,1958.867484,12,0.9608680119988862,1.0068612597611328,0.047866353326267236,-0.9608680119988874,OPTIMAL,true,49206,3005672,370996,0,false
2,80,8,776.507,12,0.8693272921435613,0.9127771411344076,0.04998100184305604,-0.869327292143562,OPTIMAL,true,18750,1259393,83619,0,false
3,80,8,3602.714983,12,0.8017739227188594,0.8605389326023605,0.07329374056495341,-0.8017739227188603,TIME_LIMIT,true,74688,4539406,453424,0,false
4,80,8,2129.013167,12,0.8823794236966427,0.8990268959874573,0.01886656901072294,-0.8823794236966438,OPTIMAL,true,51807,2964789,303629,0,false
5,80,8,3600.001481,12,0.8176898124703136,0.9155718474294506,0.11970558207571001,-0.8176898124703126,TIME_LIMIT,true,92036,5364756,505715,0,false
1,80,8,3600.000875,24,2.1543211614910254,2.339182853798867,0.08580971844508874,-2.154321161491019,TIME_LIMIT,true,86446,5646097,285299,0,false
2,80,8,3600.001427,24,1.8446677143216796,1.9487415667650718,0.056418753163716626,-1.844667714321678,TIME_LIMIT,true,82774,5543497,327126,0,false
3,80,8,3600.00148,24,1.8798276525724102,1.9836311520142504,0.05521968958153824,-1.879827652572411,TIME_LIMIT,true,86406,5120205,254959,0,false
4,80,8,663.819735,24,1.9902312672745293,2.0897420720776143,0.049999618858042334,-1.9902312672745244,OPTIMAL,true,30625,1630814,62871,0,false
5,80,8,3600.001163,24,1.8962144285589548,2.0550726984155667,0.08377653258199161,-1.8962144285589546,TIME_LIMIT,true,58609,4382257,197248,0,false
1,100,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
2,100,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
3,100,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
4,100,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
5,100,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
1,100,10,3600.001522,15,0.6444164495401813,1.1257003800190795,0.746852335663242,-0.6444164495401807,TIME_LIMIT,true,58665,8908393,183811,0,false
2,100,10,3600.002638,15,0.7704429724450682,1.0408743454656018,0.3510076445532314,-0.7704429724450679,TIME_LIMIT,true,156668,18365492,347591,0,false
3,100,10,3600.001576,15,0.7446378483711421,1.2273886699638943,0.6483028261976548,-0.7446378483711434,TIME_LIMIT,true,76048,17437654,289922,0,false
4,100,10,3600.002006,15,0.6250271885310034,1.27676450768667,1.0427343499847421,-0.6250271885310019,TIME_LIMIT,true,90656,14763879,543740,0,false
5,100,10,3600.001078,15,0.8030040389895605,1.2178003595476496,0.5165557088355837,-0.8030040389895585,TIME_LIMIT,true,63392,10395171,230203,0,false
1,100,10,3600.001645,34,2.402063085217105,2.590660531326977,0.07851477643137166,-2.40206308521711,TIME_LIMIT,true,76978,4459325,115373,0,false
2,100,10,1367.055784,34,2.285536786537429,2.399810693966835,0.04999871719524158,-2.2855367865374303,OPTIMAL,true,26091,1762509,41193,0,false
3,100,10,3600.000917,34,2.4448351739429555,2.916924229756426,0.1930964757235965,-2.44483517394296,TIME_LIMIT,true,109462,17592963,201424,0,false
4,100,10,3600.000729,34,2.4959179155733975,3.0278615965257623,0.21312547084712888,-2.4959179155734037,TIME_LIMIT,true,79703,9484684,56274,0,false
5,100,10,3600.001892,34,2.4193504932428493,2.7746472620409404,0.14685626154226966,-2.4193504932428413,TIME_LIMIT,true,118591,13730134,214187,0,false
1,120,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
2,120,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
3,120,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
4,120,10,3600.0,7,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
