seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,tightened,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters
1,80,26,3605.148074,40,3.1198381838922673,3.3399434625933213,0.07055022271265803,false,-3.119838183892269,TIME_LIMIT,true,193710,34144754,854231,0
2,80,26,1307.15607,40,2.6228233374692707,2.743711810779683,0.04609097059013372,false,-2.6228233374692733,OPTIMAL,true,111677,93216350,440928,0
3,80,26,3602.662409,40,3.251182954282989,3.577732016898791,0.1004400758762647,false,-3.251182954282985,TIME_LIMIT,true,136647,11976569,645045,0
4,80,26,3600.00336,40,3.040985457172137,3.5125833694270883,0.15508062070559783,false,-3.040985457172134,TIME_LIMIT,true,87385,10969110,768593,0
5,80,26,3600.002873,40,3.094244442305544,3.3080734214692162,0.06910539330381628,false,-3.0942444423055475,TIME_LIMIT,true,113331,8576453,758701,0
1,100,33,1.315248,50,1.78851473842604,1.8084051343206642,0.011121180869959424,false,-1.7885147384260398,OPTIMAL,true,202,1858,610,0
2,100,33,3600.004579,50,2.8716676833581767,3.129208759957686,0.08968345400549144,false,-2.8716676833581802,TIME_LIMIT,true,106244,49568957,672131,0
3,100,33,3600.003763,50,2.793628148057445,3.2049874862256154,0.147249138527692,false,-2.7936281480574476,TIME_LIMIT,true,85713,48700564,571844,0
4,100,33,3606.177643,50,2.9220799599077996,3.254491777229673,0.11375863148261073,false,-2.9220799599078022,TIME_LIMIT,true,66048,10189196,562231,0
5,100,33,3601.550133,50,2.817202574866176,3.0043618654501922,0.06643444537988426,false,-2.817202574866177,TIME_LIMIT,true,179894,101646064,809741,0
1,150,50,3600.579236,75,2.435770590751595,2.7319465348405756,0.12159435096783516,false,-2.435770590751586,TIME_LIMIT,true,58253,63638855,310316,0
2,150,50,3600.000557,75,2.4598636076774514,2.9085437722478455,0.182400423816192,false,-2.45986360767745,TIME_LIMIT,true,23720,100265352,166168,0
3,150,50,3602.660262,75,2.386183356343816,2.98498256880572,0.25094434208920235,false,-2.3861833563438095,TIME_LIMIT,true,27843,229269517,166617,0
4,150,50,3600.005472,75,2.40510197049069,2.8088987190793384,0.16789173745771177,false,-2.405101970490694,TIME_LIMIT,true,41633,66828167,256346,0
5,150,50,3600.003159,75,2.241868503755938,2.452085370656536,0.09376859817978124,,-2.2418685037559367,TIME_LIMIT,true,84692,459876882,265930,0
1,200,66,3600.004491,100,2.181709687279426,2.5411465356566842,0.16475008131144758,false,-2.181709687279433,TIME_LIMIT,true,28448,238412509,122568,0
2,200,66,3600.278576,100,2.1772743535240213,2.506210708091477,0.15107712725089353,false,-2.1772743535240218,TIME_LIMIT,true,43580,322221752,117430,0
3,200,66,3600.689697,100,2.1991329506408315,2.4408494758637693,0.10991446658670691,false,-2.1991329506408266,TIME_LIMIT,true,38233,562433300,112982,0
4,200,66,3600.101213,100,2.094083219038588,2.4668028727338225,0.1779870304611644,false,-2.0940832190385925,TIME_LIMIT,true,39806,457698250,138605,0
5,200,66,3600.003797,100,2.218417817141767,2.780592923554695,0.25341263582945817,,-2.2184178171417694,TIME_LIMIT,true,21762,236196400,112646,0
