seed,numberOfExperiments,numberOfParameters,time,N,solution,scaled_solution,termination,numberIterations,numberCuts,feasible
1,100,10,3600.020749092102,25.0,52.384650440954054,-52.384649118647665,TIME_LIMIT,111,2,true
2,100,10,3603.811149120331,9.0,-Inf,Inf,TIME_LIMIT,108,1,false
3,100,10,3605.2486040592194,19.0,-Inf,Inf,TIME_LIMIT,107,1,false
4,100,10,3603.556636095047,17.0,-Inf,Inf,TIME_LIMIT,108,1,false
5,100,10,3600.014063835144,24.0,49.058272600672844,-49.05827158896551,TIME_LIMIT,110,2,true
1,120,10,3600.0168228149414,39.0,95.96941996735139,-95.96941782953552,TIME_LIMIT,120,3,true
2,120,10,3605.3298768997192,8.0,-Inf,Inf,TIME_LIMIT,108,1,false
3,120,10,3606.9690928459167,22.0,-Inf,Inf,TIME_LIMIT,109,1,false
4,120,10,3600.0312490463257,29.0,84.76034315503034,-84.76034177800118,TIME_LIMIT,113,2,true
5,120,10,3605.119926929474,8.0,-Inf,Inf,TIME_LIMIT,108,1,false
1,150,12,3605.6087307929993,24.0,-Inf,Inf,TIME_LIMIT,153,1,false
2,150,12,3609.1579220294952,36.0,-Inf,Inf,TIME_LIMIT,152,1,false
3,150,12,3610.059206008911,26.0,-Inf,Inf,TIME_LIMIT,153,1,false
4,150,12,3606.8542020320892,38.0,-Inf,Inf,TIME_LIMIT,153,1,false
5,150,12,3609.0874679088593,13.0,-Inf,Inf,TIME_LIMIT,153,1,false
1,50,7,441.65294003486633,7.0,71.11905779944281,-71.11905750548806,OPTIMAL,90,10,true
2,50,7,169.2641088962555,4.0,66.9336888014981,-66.93368781602437,OPTIMAL,86,9,true
3,50,7,134.94236087799072,10.0,69.73900480914725,-69.73900383317206,OPTIMAL,92,9,true
4,50,7,206.1593029499054,3.0,69.20745665097117,-69.20745544113694,OPTIMAL,113,13,true
5,50,7,252.1324861049652,12.0,71.43843665418298,-71.43843642777917,OPTIMAL,94,11,true
1,80,8,3600.01792883873,25.0,78.55542094720757,-78.55542020308805,TIME_LIMIT,109,15,true
2,80,8,3600.0143251419067,6.0,71.75951600185755,-71.75951557982846,TIME_LIMIT,111,12,true
3,80,8,2457.6303567886353,13.0,78.76033240561767,-78.76033129743729,OPTIMAL,123,14,true
4,80,8,3600.0062119960785,21.0,90.32800357598336,-90.32800294194001,TIME_LIMIT,120,13,true
5,80,8,3600.01154088974,13.0,60.9162475528056,-60.916247095629615,TIME_LIMIT,90,8,true
