seed,numberOfExperiments,numberOfParameters,time,N,solution,scaled_solution,termination,numberIterations,numberCuts,feasible
5,100,10,395.47013998031616,10.0,0.3571155606791728,-0.3571155578249078,OPTIMAL,135,7,true
3,100,10,3600.0116629600525,12.0,-Inf,Inf,TIME_LIMIT,108,1,false
4,100,10,3600.0487129688263,19.0,-Inf,Inf,TIME_LIMIT,109,1,false
1,100,10,3600.042282104492,22.0,-Inf,Inf,TIME_LIMIT,107,1,false
2,100,10,3600.0436770915985,32.0,-Inf,Inf,TIME_LIMIT,107,1,false
5,120,10,3600.0283830165863,12.0,-Inf,Inf,TIME_LIMIT,108,1,false
3,120,10,3600.0406379699707,15.0,-Inf,Inf,TIME_LIMIT,109,1,false
4,120,10,3600.0417160987854,23.0,-Inf,Inf,TIME_LIMIT,108,1,false
1,120,10,3600.038066148758,27.0,-Inf,Inf,TIME_LIMIT,108,1,false
2,120,10,3600.0515401363373,38.0,-Inf,Inf,TIME_LIMIT,108,1,false
3,150,12,3600.0125319957733,18.0,-Inf,Inf,TIME_LIMIT,153,1,false
1,150,12,3600.0209698677063,33.0,-Inf,Inf,TIME_LIMIT,153,1,false
2,150,12,3600.008901119232,47.0,-Inf,Inf,TIME_LIMIT,153,1,false
3,50,7,55.06015706062317,10.0,0.6381663716191891,-0.6381663690273568,OPTIMAL,85,6,true
5,50,7,57.30754613876343,12.0,1.2655362105463475,Inf,OPTIMAL,73,4,false
2,50,7,35.87290096282959,14.0,1.5154158732885643,Inf,OPTIMAL,78,4,false
4,50,7,55.5360209941864,14.0,0.9770832677352081,Inf,OPTIMAL,73,4,false
1,50,7,67.44017100334167,2.0,1.0701357522962298,Inf,OPTIMAL,70,4,false
3,80,8,147.21893095970154,10.0,1.4696507471639946,Inf,OPTIMAL,77,2,false
4,80,8,133.30822706222534,15.0,1.087655051573193,Inf,OPTIMAL,90,4,false
1,80,8,153.3516309261322,17.0,2.058137656092959,Inf,OPTIMAL,95,4,false
2,80,8,221.8505618572235,25.0,1.2246227642090584,-1.2246227591450924,OPTIMAL,84,3,true
5,80,8,220.422523021698,8.0,1.757404371209281,-1.7574043629125662,OPTIMAL,91,4,true
