seed,numberOfExperiments,numberOfParameters,time,N,solution,scaled_solution,termination,numberIterations,numberCuts,feasible
4,100,10,3600.0218110084534,17.0,-Inf,Inf,TIME_LIMIT,107,1,false
3,100,10,3600.022280931473,19.0,-Inf,Inf,TIME_LIMIT,107,1,false
5,100,10,3600.0174100399017,24.0,-Inf,Inf,TIME_LIMIT,107,1,false
1,100,10,3600.0183429718018,25.0,-Inf,Inf,TIME_LIMIT,106,1,false
2,100,10,3600.014104127884,9.0,-Inf,Inf,TIME_LIMIT,108,1,false
3,120,10,3600.0266230106354,22.0,-Inf,Inf,TIME_LIMIT,109,1,false
4,120,10,3600.0326659679413,29.0,-Inf,Inf,TIME_LIMIT,106,1,false
1,120,10,3600.026622056961,39.0,-Inf,Inf,TIME_LIMIT,107,1,false
2,120,10,3600.019289970398,8.0,-Inf,Inf,TIME_LIMIT,108,1,false
5,120,10,3600.0210881233215,8.0,-Inf,Inf,TIME_LIMIT,108,1,false
1,150,12,3600.035155057907,24.0,-Inf,Inf,TIME_LIMIT,152,1,false
3,150,12,3600.020000219345,26.0,-Inf,Inf,TIME_LIMIT,153,1,false
2,150,12,3600.0175330638885,36.0,-Inf,Inf,TIME_LIMIT,152,1,false
3,50,7,57.62459087371826,10.0,69.73900480914725,-69.73900383317206,OPTIMAL,100,10,true
5,50,7,563.1305780410767,12.0,173.9565243084097,Inf,OPTIMAL,108,10,false
4,50,7,125.48041605949402,3.0,172.33747123984585,Inf,OPTIMAL,113,11,false
2,50,7,245.5253050327301,4.0,156.1093677185265,Inf,OPTIMAL,104,11,false
3,80,8,3600.0001900196075,13.0,211.31088754590806,-211.31088661259233,TIME_LIMIT,110,9,true
5,80,8,3600.003618955612,13.0,179.21687291470582,Inf,TIME_LIMIT,76,2,false
4,80,8,3600.000694990158,21.0,228.41222190716243,-228.4122198631481,TIME_LIMIT,107,7,true
1,80,8,3600.00044798851,25.0,197.7400819263627,-197.7400809459524,TIME_LIMIT,110,9,true
