seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters
1,50,16,3600,25,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
2,50,16,3600,25,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
3,50,16,3600,25,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,50,16,3600,25,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,50,16,3600,25,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
1,80,26,3600,40,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
2,80,26,3600,40,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
3,80,26,3600,40,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,80,26,3600,40,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,80,26,3600,40,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
1,100,33,3600,50,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
2,100,33,3600,50,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
3,100,33,3600,50,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,100,33,3600,50,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,100,33,3600,50,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
1,150,50,3600,75,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
2,150,50,3600,75,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
3,150,50,3600,75,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,150,50,3600,75,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,150,50,3600,75,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
1,200,66,3600,100,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
2,200,66,3600,100,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
3,200,66,3600,100,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,200,66,3600,100,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,200,66,3600,100,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
