seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters
1,50,7,3600.003556,5,7.244853156800512e-7,0.006061866450299404,8366.135011714245,2.9197721505226467e-16,TIME_LIMIT,true,1782974,0,0,26544005
2,50,7,3600.003103,5,1.185555829398551e-6,0.006505814225118998,5486.564620570832,4.399334868469992e-16,TIME_LIMIT,true,1743954,0,0,25899340
3,50,7,3600.002594,5,7.922150765117815e-7,0.008697929528369203,10978.25271337581,1.1263567541686126e-15,TIME_LIMIT,true,1708418,0,0,25376279
4,50,7,3600.002827,5,6.206806674547288e-7,0.006776382017158377,10916.66245104232,3.294121398485577e-16,TIME_LIMIT,true,1694297,0,0,25376150
5,50,7,3600.004914,5,9.021401256700256e-7,0.0071366719647564985,7909.824229723784,6.787848571416623e-16,TIME_LIMIT,true,1742715,0,0,25884443
1,50,7,58.60866,10,0.6598948946922201,0.666471275431553,0.009965800299758722,-0.6598948947686418,OPTIMAL,true,2351,0,0,45212
2,50,7,58.13672,10,0.6785467052276528,0.6852851803987934,0.009930746283529305,-0.6785467060591251,OPTIMAL,true,2281,0,0,42362
3,50,7,91.609919,10,0.6964447498762757,0.7034027471838842,0.009990738402212932,-0.6964447883728754,OPTIMAL,true,11915,0,0,235011
4,50,7,55.6205,10,0.6856937516911633,0.692521102589375,0.009956851555629719,-0.6856937571458355,OPTIMAL,true,1501,0,0,27946
5,50,7,103.432489,10,0.6526736277033043,0.6591797736920544,0.009968452397325448,-0.6526737887860717,OPTIMAL,true,13725,0,0,302475
1,50,7,59.291623,20,1.4151836746599442,1.4293199643805785,0.00998901412852372,-1.4151837065037896,OPTIMAL,true,2047,0,0,49219
2,50,7,51.195948,20,1.5519770396186825,1.5674959392584817,0.009999438937326164,-1.5519778696938449,OPTIMAL,true,245,0,0,6160
3,50,7,88.700079,20,1.6341773850625994,1.6505186013720414,0.009999658824562734,-1.6341773859338198,OPTIMAL,true,9323,0,0,216083
4,50,7,53.549484,20,1.4119494975631788,1.4259781530825422,0.009935663806371845,-1.4119494993225339,OPTIMAL,true,729,0,0,17920
5,50,7,101.007366,20,1.473500781442062,1.4882353994994033,0.009999735489058303,-1.4735010073641448,OPTIMAL,true,11971,0,0,281496
1,80,8,3600.005137,6,2.8695847311375456e-7,0.1757174934853535,612343.6768400406,-2.996484201593393e-16,TIME_LIMIT,true,849000,0,0,14684439
2,80,8,3600.006983,6,3.3265481439656933e-7,0.15957207469519344,479691.6657582116,2.051995418358693e-15,TIME_LIMIT,true,863493,0,0,14878926
3,80,8,3600.00698,6,2.7933949253249427e-7,0.1787606718491603,639939.5620326524,3.0807528178237405e-16,TIME_LIMIT,true,848479,0,0,15325050
4,80,8,3600.006103,6,3.861280418885532e-7,0.1675749989334291,433987.16132032097,2.436657475099661e-16,TIME_LIMIT,true,840124,0,0,14884367
5,80,8,3600.015835,6,3.236854314902348e-7,0.1659760170032833,512768.5004348399,6.328201030219756e-16,TIME_LIMIT,true,854489,0,0,15070289
1,80,8,300.128772,12,1.003550193131316,1.0135845980237208,0.009998906842013629,-1.0035501932143696,OPTIMAL,true,52881,0,0,1187914
2,80,8,182.386035,12,0.8693271320717856,0.8780195905792826,0.009999065008797188,-0.869327292143562,OPTIMAL,true,26017,0,0,606497
3,80,8,2039.983309,12,0.8054736491888046,0.8135282413144745,0.009999820768540044,-0.8054736491888068,OPTIMAL,true,402908,0,0,10250666
4,80,8,230.103791,12,0.8823790305293351,0.8912024414938547,0.009999570093167943,-0.8823794236966438,OPTIMAL,true,36849,0,0,843036
5,80,8,684.940449,12,0.8619484094736399,0.8705678419737596,0.009999940141873711,-0.8619484131774704,OPTIMAL,true,131825,0,0,3102187
1,80,8,350.392794,24,2.317953664643608,2.3411313291234452,0.009999192319230856,-2.3179536657323903,OPTIMAL,true,43385,0,0,1302572
2,80,8,1810.943829,24,1.90083659172563,1.9198448862812185,0.009999962457757753,-1.9008365917276113,OPTIMAL,true,246503,0,0,8180923
3,80,8,3079.11763,24,1.9346889639710032,1.9540357109108015,0.00999992624141949,-1.934688963971006,OPTIMAL,true,435843,0,0,14012558
4,80,8,1023.265845,24,2.001238813169204,2.0212509793468074,0.00999988909165314,-2.0012388131692047,OPTIMAL,true,146775,0,0,4542575
5,80,8,2403.396858,24,1.9850162830897342,2.004866274606527,0.009999913696373222,-1.9850162830916376,OPTIMAL,true,336873,0,0,11116979
1,100,10,3600.005132,7,2.216847785106644e-7,0.26917392774224824,1.2142182601162253e6,1.4678784178923835e-15,TIME_LIMIT,true,273408,0,0,5790336
2,100,10,3600.012693,7,2.2104278049486656e-7,0.2505293961195174,1.1333967773833498e6,-2.669011806225181e-16,TIME_LIMIT,true,274664,0,0,5766059
3,100,10,3600.005441,7,2.0878652920558592e-7,0.2698927437345943,1.2926721660395528e6,-8.655250528525201e-16,TIME_LIMIT,true,438671,0,0,9332007
4,100,10,3600.035092,7,2.2074848606077072e-7,0.2817629489666873,1.2763971035372522e6,-3.2879218965946735e-16,TIME_LIMIT,true,436470,0,0,9199563
5,100,10,3600.004332,7,2.0210705424315574e-7,0.2674004279436089,1.3230623089228962e6,2.1573837272743243e-15,TIME_LIMIT,true,423413,0,0,9003734
1,100,10,3600.004591,15,0.8980018347041011,1.0050586676159143,0.1192167195817471,-0.8980018363388458,TIME_LIMIT,true,215435,0,0,5160160
2,100,10,3600.003492,15,0.8399712683892907,0.9281600057296033,0.10499018318736222,-0.8399712729168419,TIME_LIMIT,true,193905,0,0,4808313
3,100,10,3600.003539,15,0.9012871297524586,1.0613828880252945,0.1776301391508904,-0.9012873191542672,TIME_LIMIT,true,227687,0,0,5003359
4,100,10,3600.004799,15,0.937139208529452,1.1179192642865519,0.19290629835110396,-0.9371392119192468,TIME_LIMIT,true,231624,0,0,5083405
5,100,10,3600.003295,15,0.9503762518901021,1.0688615691727261,0.1246720096877223,-0.9503762560798368,TIME_LIMIT,true,226908,0,0,5216121
1,100,10,3600.003904,34,2.4979477629003357,2.5422275883595122,0.017726481761077252,-2.4979481528519862,TIME_LIMIT,true,165886,0,0,4882431
2,100,10,3600.002881,34,2.318445172791535,2.358531602304037,0.01729022104250834,-2.3184451728946236,TIME_LIMIT,true,157370,0,0,5079817
3,100,10,3600.005513,34,2.6276250533542385,2.77277203042372,0.05523884653337319,-2.627625617785935,TIME_LIMIT,true,225882,0,0,5016490
4,100,10,3600.006687,34,2.776290302163448,2.9116904881480132,0.04877018295927249,-2.776291974266247,TIME_LIMIT,true,224240,0,0,4990773
5,100,10,3600.004357,34,2.5907328119232034,2.683054969684784,0.03563553807505379,-2.5907331803539986,TIME_LIMIT,true,202539,0,0,4869657
1,120,10,3600.00471,7,2.3442035696019027e-7,0.3286091833163738,1.4017935692838393e6,2.410223874722722e-16,TIME_LIMIT,true,219848,0,0,4660472
2,120,10,3600.006188,7,2.5899470150489826e-7,0.31616749495158414,1.2207478922147104e6,-6.201401284363872e-17,TIME_LIMIT,true,215807,0,0,4532038
3,120,10,3600.008702,7,2.1480084934672452e-7,0.3149421061267761,1.4662041248149714e6,1.0029666084250747e-16,TIME_LIMIT,true,213403,0,0,4575603
4,120,10,3600.004964,7,2.401688286194015e-7,0.32244179561351705,1.3425620522789222e6,1.0466844402919405e-15,TIME_LIMIT,true,216158,0,0,4611016
5,120,10,3600.004608,7,1.9844087545995707e-7,0.3452280029384694,1.7397010756851688e6,1.6759671499216016e-15,TIME_LIMIT,true,217404,0,0,4602029
1,120,10,3600.003693,15,1.0180044652320341,1.1739522811223673,0.15318971695746725,-1.018004465417664,TIME_LIMIT,true,186299,0,0,4258378
2,120,10,3600.010211,15,0.8941939904267319,1.076955848794417,0.20438725860869034,-0.8941939908936145,TIME_LIMIT,true,197551,0,0,4337215
3,120,10,3600.003146,15,1.057458357297282,1.1483532088228898,0.08595596308673806,-1.057458357422974,TIME_LIMIT,true,148207,0,0,3961135
4,120,10,3600.062422,15,0.9044285158275472,1.10573888618764,0.22258295358577332,-0.9044285160691694,TIME_LIMIT,true,190753,0,0,4273670
5,120,10,3600.003045,15,1.0978033347873695,1.2115488917212784,0.10361196156863564,-1.0978035518567837,TIME_LIMIT,true,162264,0,0,4039670
1,120,10,3600.004653,34,2.9125236071439615,3.066690932507778,0.05293255820679645,-2.9125236071520364,TIME_LIMIT,true,176136,0,0,3978632
2,120,10,3600.007263,34,2.6635579501443543,2.774658643345592,0.041711385778265685,-2.6635584834740555,TIME_LIMIT,true,183768,0,0,4027052
3,120,10,3600.005385,34,2.808444525316657,2.948560619196934,0.04989099575127925,-2.808444528179011,TIME_LIMIT,true,174919,0,0,3962397
4,120,10,3600.009375,34,2.6539651456735567,2.8253836855406855,0.0645895972471877,-2.6539651459773665,TIME_LIMIT,true,183992,0,0,4029118
5,120,10,3600.004843,34,3.0059580640514945,3.1126588111270075,0.035496419045746595,-3.005958064148243,TIME_LIMIT,true,164074,0,0,3886047
1,150,12,3600.002695,9,1.7700174327636896e-7,0.49123128908232966,2.775289683523526e6,-5.520910973378927e-16,TIME_LIMIT,true,130651,0,0,2908096
2,150,12,3600.002685,9,1.7994490240490939e-7,0.47684409746199335,2.6499440169975124e6,8.369538096663543e-16,TIME_LIMIT,true,131083,0,0,2918961
3,150,12,3600.003055,9,1.4774566906006964e-7,0.5124020942166301,3.468135138787936e6,-8.343723686625245e-16,TIME_LIMIT,true,132280,0,0,2956842
4,150,12,3600.002204,9,1.8595861920404817e-7,0.4763761420805892,2.56173098166132e6,2.7600643033912418e-15,TIME_LIMIT,true,129557,0,0,2891967
5,150,12,3600.005458,9,1.785765953647973e-7,0.5020346637459939,2.8113117743332465e6,4.1976477432192186e-15,TIME_LIMIT,true,212932,0,0,4736841
1,150,12,3600.003661,18,1.0257762962822796,1.3588457394640021,0.324699882799852,-1.0257762962836878,TIME_LIMIT,true,120569,0,0,2678618
2,150,12,3600.003418,18,1.081863322655488,1.3386959366400113,0.2373983927601084,-1.0818642312520284,TIME_LIMIT,true,116923,0,0,2640955
3,150,12,3600.003083,18,0.9905193366782238,1.37868917484475,0.3918851695195382,-0.9905198855179799,TIME_LIMIT,true,118620,0,0,2694197
4,150,12,3600.006169,18,0.9810018318837189,1.3038719615867067,0.3291228611500274,-0.9810018319247636,TIME_LIMIT,true,116996,0,0,2723213
5,150,12,3600.00357,18,1.1602231011808857,1.405464091310791,0.21137399339859445,-1.160223101199703,TIME_LIMIT,true,119550,0,0,2679853
1,150,12,3600.003229,44,3.388205259868079,3.6488690991987074,0.07693271786632468,-3.388205270133437,TIME_LIMIT,true,180907,0,0,4219639
2,150,12,3600.003346,44,3.315481838265362,3.6202647085955983,0.09192717233815298,-3.3154823643093643,TIME_LIMIT,true,112028,0,0,2618710
3,150,12,3600.004246,44,3.4843697015283994,3.716308886454562,0.06656560720994206,-3.484369701574714,TIME_LIMIT,true,114752,0,0,2670448
4,150,12,3600.002303,44,3.2803931425985393,3.478010232953295,0.060241892286793074,-3.2803931454087074,TIME_LIMIT,true,115079,0,0,2650926
5,150,12,3600.001823,44,3.516778255965616,3.7848658402918582,0.07623101737264129,-3.5167782559716514,TIME_LIMIT,true,110863,0,0,2607222
