seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters
1,80,26,3600.003253,40,12.255435510787201,12.494794848573145,0.019530871634489046,-12.255435510787201,TIME_LIMIT,true,186375,8168190,437240,0
2,80,26,3600.003918,40,11.832810012508366,11.99124072457916,0.013389103002863952,-11.832810012508354,TIME_LIMIT,true,161221,4873081,404611,0
3,80,26,3600.004065,40,12.25333884080214,12.600829469381683,0.02835885248047176,-12.253338840802144,TIME_LIMIT,true,133351,10861107,245324,0
4,80,26,3600.005224,40,11.996582458566017,12.214204258550346,0.018140316272234565,-11.996582458566019,TIME_LIMIT,true,154433,5720132,383286,0
5,80,26,3600.001907,40,12.250143822042297,12.685592779556343,0.035546436339018384,-12.250143822042299,TIME_LIMIT,true,203676,11884655,323926,0
1,100,33,3600.415053,50,11.044904855872861,11.19896408520134,0.013948443317423499,-11.044904855872865,TIME_LIMIT,true,227700,28376291,859944,0
2,100,33,2132.482911,50,10.838262378615811,10.94664492369396,0.009999992737949426,-10.838262378615806,OPTIMAL,true,200714,40871125,590570,0
3,100,33,20.422569,50,10.576164921394149,10.632361861995411,0.005313546169045055,-10.576164921394145,OPTIMAL,true,3203,581399,9278,0
4,100,33,3600.002131,50,10.866701160584578,11.10886184403553,0.02228465473305845,-10.866701160584576,TIME_LIMIT,true,174008,17056200,337988,0
5,100,33,2.146135,50,10.013327326410847,10.113432403474295,0.00999718413273219,-10.013327326410849,OPTIMAL,true,309,34366,959,0
1,150,50,72.061102,75,9.057823486661192,9.147850899910027,0.009939188302952928,-9.057823486661185,OPTIMAL,true,5836,3461644,13376,0
2,150,50,1.439161,75,8.31095512265232,8.325365387895564,0.001733887986468304,-8.310955122652315,OPTIMAL,true,202,4062,547,0
3,150,50,48.988252,75,9.060186416942559,9.130538693056103,0.007764992117820599,-9.060186416942557,OPTIMAL,true,4191,3052648,10576,0
4,150,50,1721.600727,75,9.431084487190251,9.522848838743858,0.009729989343033221,-9.431084487190258,OPTIMAL,true,72362,101287670,217199,0
5,150,50,1.711599,75,8.260108797497187,8.297412980194574,0.00451618539318634,-8.260108797497184,OPTIMAL,true,202,3091,617,0
1,200,66,3600.041499,100,9.082621877369556,9.369229472067904,0.03155560129751353,-9.08262187736955,TIME_LIMIT,true,66132,380785963,171939,0
2,200,66,3600.091769,100,9.28385181970056,9.428203240742967,0.015548656295449414,-9.283851819700558,TIME_LIMIT,true,68275,613531927,153119,0
3,200,66,3600.031505,100,9.260133116605218,9.404723384457919,0.01561427530598048,-9.26013311660521,TIME_LIMIT,true,71320,296857156,202043,0
4,200,66,30.022064,100,8.366823003532465,8.411883264970566,0.005385587984719699,-8.366823003532467,OPTIMAL,true,4623,787860,10376,0
5,200,66,3600.004741,100,9.361342094255276,9.656111439097584,0.03148793643842987,-9.361342094255267,TIME_LIMIT,true,57559,298226053,156435,0
